Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/01 14:00 14:30,  17911.0,   0.308072,   -0.117973,   9.604917,   56.897205,   0.040658,   -0.441420,   -10.030104,   748.780396,   396.442902,   0.957140,   2.937603,   0.945989,   0.195522,   97.698612,   6.345991,   84.290186,   -199.027139,   -0.010049,   0.000140,   3.985684,   54.240449,   108.480899,  
18/01/01 14:30 15:00,  18000.0,   0.387220,   -0.186221,   6.639797,   56.427491,   0.040382,   0.000616,   0.014006,   748.115799,   396.427251,   0.959463,   2.856524,   0.947986,   0.458826,   97.686356,   5.985321,   82.027361,   -515.220549,   -0.003882,   0.000221,   2.596204,   61.283644,   122.567287,  
18/01/01 15:00 15:30,  17999.0,   0.377140,   -0.176440,   18.771790,   74.894078,   0.053502,   -0.011596,   -0.263496,   747.875437,   396.782976,   0.959029,   2.635994,   0.947847,   0.786323,   97.676694,   7.983365,   85.209297,   -203.318713,   -0.009837,   0.000210,   2.988902,   56.169668,   112.339336,  
18/01/01 15:30 16:00,  18000.0,   0.379539,   -0.178718,   21.171184,   66.874693,   0.047689,   -0.019296,   -0.438448,   748.067460,   396.823714,   0.959186,   2.744409,   0.947825,   0.720111,   97.668927,   7.195585,   80.861032,   -191.065026,   -0.010468,   0.000213,   2.657470,   61.329573,   122.659146,  
18/01/01 16:00 16:30,  18000.0,   0.366761,   -0.166759,   19.880763,   62.630868,   0.044656,   -0.010794,   -0.245276,   747.034425,   396.577255,   0.959199,   2.827376,   0.947992,   0.822881,   97.663845,   7.011191,   82.120853,   -183.645606,   -0.010891,   0.000199,   2.814650,   60.548218,   121.096437,  
18/01/01 16:30 17:00,  17999.0,   0.331170,   -0.135952,   7.692008,   48.145169,   0.034426,   -0.001597,   -0.036283,   746.405420,   396.274859,   0.959496,   2.999446,   0.948000,   0.788244,   97.659954,   6.376652,   78.710881,   -304.042644,   -0.006578,   0.000162,   3.551129,   55.484808,   110.969615,  
18/01/01 17:00 17:30,  18000.0,   0.346471,   -0.148788,   13.888438,   57.671884,   0.041170,   -0.008664,   -0.196863,   746.471139,   396.355939,   0.959436,   2.966110,   0.948000,   0.830974,   97.665448,   6.023171,   79.415322,   -211.449489,   -0.009459,   0.000177,   3.130096,   58.760644,   117.521288,  
18/01/01 17:30 18:00,  18000.0,   0.285267,   -0.100953,   8.632359,   46.733510,   0.033398,   -0.004984,   -0.113243,   747.046505,   396.310814,   0.959349,   2.938365,   0.948000,   0.592803,   97.668525,   5.688912,   82.508682,   -179.555299,   -0.011139,   0.000120,   3.769691,   61.066259,   122.132518,  
18/01/01 18:00 18:30,  18000.0,   0.295941,   -0.108693,   10.730837,   47.722395,   0.034077,   -0.005369,   -0.121992,   747.115388,   396.189890,   0.959500,   2.879612,   0.948000,   0.463994,   97.663835,   5.502501,   85.782093,   -168.318489,   -0.011882,   0.000129,   3.329858,   65.098589,   130.197177,  
18/01/01 18:30 19:00,  17999.0,   0.347817,   -0.150289,   15.570844,   57.200865,   0.040797,   -0.010758,   -0.244440,   747.979014,   396.250830,   0.959081,   2.875389,   0.948000,   0.303717,   97.686561,   6.528343,   80.854271,   -195.207913,   -0.010245,   0.000179,   3.004448,   60.491584,   120.983167,  
18/01/01 19:00 19:30,  18000.0,   0.317884,   -0.125819,   17.959815,   47.170521,   0.033534,   -0.010750,   -0.244256,   749.061217,   395.924626,   0.959083,   2.976378,   0.948000,   -0.294612,   97.712141,   5.747207,   79.419530,   -135.937290,   -0.014713,   0.000149,   3.205689,   62.643178,   125.286356,  
18/01/01 19:30 20:00,  18000.0,   0.202579,   -0.051114,   12.141199,   35.677415,   0.025387,   -0.007746,   -0.176016,   749.011312,   395.767658,   0.959565,   2.961825,   0.948000,   -0.368755,   97.730874,   4.339936,   84.632057,   -51.266846,   -0.039012,   0.000061,   5.693714,   60.912801,   121.825602,  
18/01/01 20:00 20:30,  18000.0,   0.296729,   -0.109586,   11.535789,   49.390279,   0.035254,   -0.007598,   -0.172649,   748.661462,   395.879672,   0.959538,   2.782291,   0.948000,   -0.095010,   97.741279,   5.242701,   87.724533,   -159.213819,   -0.012562,   0.000130,   3.150918,   67.865898,   135.731795,  
18/01/01 20:30 21:00,  17999.0,   0.267523,   -0.089136,   13.519945,   41.111741,   0.029282,   -0.009571,   -0.217482,   749.099819,   395.842259,   0.959124,   2.799490,   0.948000,   -0.246682,   97.755751,   5.531913,   85.404674,   -105.525341,   -0.018953,   0.000106,   3.982469,   62.157617,   124.315234,  
18/01/01 21:00 21:30,  18000.0,   0.312238,   -0.121472,   16.388259,   54.370113,   0.038740,   -0.009654,   -0.219362,   749.272730,   395.771421,   0.959053,   2.831588,   0.948000,   -0.320017,   97.770238,   6.361652,   89.139603,   -136.623217,   -0.014639,   0.000144,   3.572547,   58.442019,   116.884038,  
18/01/01 21:30 22:00,  18000.0,   0.241471,   -0.072664,   12.349792,   41.476688,   0.029550,   -0.006853,   -0.155707,   749.281089,   395.702431,   0.959077,   2.873252,   0.948000,   -0.386877,   97.770478,   5.105889,   93.001220,   -83.697499,   -0.023896,   0.000086,   4.558018,   61.547766,   123.095533,  
18/01/01 22:00 22:30,  17999.0,   0.255110,   -0.081104,   12.200348,   44.889826,   0.032000,   -0.004852,   -0.110243,   749.252178,   395.685396,   0.959072,   2.855833,   0.948000,   -0.414586,   97.761736,   5.311422,   94.731621,   -98.404173,   -0.020324,   0.000096,   4.140128,   63.064089,   126.128178,  
18/01/01 22:30 23:00,  18000.0,   0.361576,   -0.162958,   16.631765,   57.386747,   0.040911,   -0.008659,   -0.196750,   749.424152,   395.699126,   0.959022,   2.710981,   0.947996,   -0.454529,   97.754120,   7.053622,   93.651937,   -207.728948,   -0.009628,   0.000193,   2.777297,   62.047403,   124.094805,  
18/01/01 23:00 23:30,  18000.0,   0.328087,   -0.134261,   19.240150,   58.700940,   0.041814,   -0.006924,   -0.157321,   749.766490,   395.612616,   0.959012,   2.683549,   0.947997,   -0.623095,   97.760449,   7.028482,   94.839616,   -136.746225,   -0.014626,   0.000159,   3.223302,   60.498416,   120.996832,  
18/01/01 23:30 24:00,  18000.0,   0.263421,   -0.086568,   15.659514,   46.635490,   0.033208,   -0.006636,   -0.150780,   749.846815,   395.577006,   0.959015,   2.721330,   0.948000,   -0.690256,   97.758988,   6.541383,   98.239585,   -87.270878,   -0.022917,   0.000102,   4.518599,   57.022754,   114.045508,  
18/01/02 0:00 0:30,  17999.0,   0.270519,   -0.091263,   14.892406,   47.419798,   0.033785,   -0.006684,   -0.151883,   749.568123,   395.572642,   0.959013,   2.708942,   0.948000,   -0.586415,   97.758834,   6.598104,   100.099960,   -98.400102,   -0.020325,   0.000108,   4.298865,   57.848844,   115.697689,  
18/01/02 0:30 1:00,  18000.0,   0.272073,   -0.092331,   15.096196,   53.345682,   0.038042,   -0.004964,   -0.112789,   749.979415,   395.721603,   0.959006,   2.612644,   0.948000,   -0.620205,   97.757331,   6.443646,   104.131823,   -97.135944,   -0.020590,   0.000109,   4.169763,   58.952543,   117.905087,  
18/01/02 1:00 1:30,  18000.0,   0.318225,   -0.126409,   25.325973,   71.824462,   0.051167,   -0.010294,   -0.233909,   750.461966,   395.677056,   0.959001,   2.475660,   0.947996,   -0.862659,   97.741249,   7.744365,   106.601287,   -95.773572,   -0.020883,   0.000150,   3.716204,   55.600901,   111.201803,  
18/01/02 1:30 2:00,  17999.0,   0.310855,   -0.120618,   22.318145,   63.910289,   0.045528,   -0.006826,   -0.155111,   750.419255,   395.664763,   0.959001,   2.502623,   0.947973,   -0.848141,   97.744958,   7.651398,   101.648996,   -101.172893,   -0.019768,   0.000143,   3.742396,   56.551558,   113.103116,  
18/01/02 2:00 2:30,  18000.0,   0.370796,   -0.171593,   27.578984,   79.753333,   0.056818,   -0.004680,   -0.106345,   750.069824,   395.542323,   0.959002,   2.499441,   0.947993,   -0.847292,   97.728040,   8.380324,   112.763445,   -138.742978,   -0.014415,   0.000203,   3.037603,   56.366023,   112.732046,  
