year month day id wd wsd tmp
2000 01 30 89512 90 14 -3.2
2000 01 30 89512 100 12 -4
2000 01 31 89512 140 16 -4.5
2000 01 31 89512 140 16 -4.3
2000 01 31 89512 110 18 -2.5
2000 01 31 89512 120 22 -2.4
2001 01 01 89512 170 20 .1
2001 01 01 89512 100 16 2.6
2001 01 02 89512 80 8 .3
2001 01 02 89512 180 4 .3
2001 01 03 89512 120 14 -1.3
2001 01 03 89512 120 4 0
2001 01 03 89512 10 4 -.2
2001 01 04 89512 90 12 -1.1
2001 01 04 89512 90 10 -.7
2001 01 05 89512 130 12 -1.7
2001 01 05 89512 110 12 -1.4
2001 01 05 89512 130 12 .1
2001 01 06 89512 130 14 -1.2
2001 01 06 89512 130 6 1.8
2001 01 06 89512 160 6 2.1
2001 01 07 89512 140 8 -1.5
2001 01 07 89512 120 14 .7
2001 01 07 89512 120 8 2.7
2001 01 07 89512 90 14 2.1
2001 01 08 89512 110 18 -.4
2001 01 08 89512 110 16 .4
2001 01 08 89512 90 8 3
2001 01 08 89512 230 4 4.2
2001 01 09 89512 170 18 -.8
2001 01 09 89512 140 14 .3
2001 01 09 89512 90 14 3.3
2001 01 09 89512 70 8 1
2001 01 10 89512 120 14 .6
2001 01 10 89512 110 16 0
2001 01 10 89512 110 22 2.4
2001 01 10 89512 120 16 1.4
2001 01 11 89512 120 20 .4
2001 01 11 89512 90 14 3.1
2001 01 12 89512 120 6 1
2001 01 12 89512 320 4 2
2001 01 13 89512 90 2 -.6
2001 01 13 89512 130 10 -.4
2001 01 13 89512 100 4 1.9
2001 01 13 89512 220 6 .6
2001 01 14 89512 170 16 -2.4
2001 01 14 89512 160 22 -1
2001 01 14 89512 80 6 .6
2001 01 14 89512 140 4 -.2
2001 01 15 89512 180 8 -3.4
2001 01 15 89512 20 2 -6.3
2001 01 15 89512 110 8 -3.2
2001 01 15 89512 80 6 -2.3
2001 01 16 89512 100 6 -3.5
2001 01 16 89512 30 8 -1.1
2001 01 16 89512 30 4 -1.7
2001 01 17 89512 120 10 -2.8
2001 01 17 89512 130 24 -2.4
2001 01 17 89512 90 24 -.6
2001 01 17 89512 100 8 -1.2
2001 01 18 89512 190 12 -4.3
2001 01 18 89512 180 18 -3.8
2001 01 18 89512 20 4 -.3
2001 01 18 89512 80 4 -.4
2001 01 19 89512 100 4 -4.5
2001 01 19 89512 120 12 -4.4
2001 01 19 89512 100 12 -1.3
2001 01 19 89512 350 4 -1.3
2001 01 20 89512 110 10 -1.4
2001 01 20 89512 120 14 -1.2
2001 01 20 89512 120 20 .1
2001 01 20 89512 120 8 -.2
2001 01 21 89512 130 4 -1.5
2001 01 21 89512 110 12 .4
2001 01 21 89512 110 10 .7
2001 01 21 89512 120 6 1.1
2001 01 22 89512 10 4 -1.1
2001 01 22 89512 150 20 .2
2001 01 22 89512 120 12 1
2001 01 22 89512 170 12 .7
2001 01 23 89512 140 16 -2
2001 01 23 89512 120 18 0
2001 01 23 89512 110 6 1.3
2001 01 23 89512 190 16 -.5
2001 01 24 89512 180 22 -1
2001 01 24 89512 170 20 -1.6
2001 01 24 89512 140 4 1.2
2001 01 24 89512 190 18 -.4
2001 01 25 89512 180 22 -3.1
2001 01 25 89512 160 26 -.3
2001 01 25 89512 110 8 2.9
2001 01 25 89512 270 2 2.3
2001 01 26 89512 160 22 -2.2
2001 01 26 89512 130 24 -2.6
2001 01 26 89512 80 14 -1.5
2001 01 26 89512 90 8 -2.2
2001 01 27 89512 110 14 -3.2
2001 01 27 89512 130 24 -1.3
2001 01 27 89512 120 38 -3.6
2001 01 28 89512 120 38 -2
2001 01 28 89512 130 34 -1.8
2001 01 28 89512 120 32 -1.4
2001 01 28 89512 120 16 -.3
2001 01 29 89512 140 18 -1.2
2001 01 29 89512 130 26 1
2001 01 30 89512 160 26 -3.1
2001 01 30 89512 140 26 -1.8
2001 01 30 89512 110 26 -.4
2001 01 30 89512 90 12 -1.3
2001 01 31 89512 120 16 -2.4
2001 01 31 89512 120 26 -1.8
2001 01 31 89512 110 24 -1.5
2001 01 31 89512 100 26 -1.8
2002 01 01 89512 160 24 .4
2002 01 01 89512 130 8 4.2
2002 01 01 89512 170 8 4.4
2002 01 02 89512 180 26 -.3
2002 01 02 89512 170 26 .3
2002 01 02 89512 130 14 3.5
2002 01 02 89512 30 6 1
2002 01 03 89512 140 6 -2
