1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A100000062912041
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Dec 03 00:00:01 EET 2019
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Dec 29 19:00:01 EET 2019
Total Mission Samples:  4739
Total Device Samples:  7965
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16.1.2020 15:00:01,C,4,923
16.1.2020 16:00:01,C,4,923
16.1.2020 17:00:01,C,5,111
16.1.2020 18:00:01,C,5,049
16.1.2020 19:00:01,C,4,861
16.1.2020 20:00:01,C,4,673
16.1.2020 21:00:01,C,4,485
16.1.2020 22:00:01,C,4,359
16.1.2020 23:00:01,C,4,359
17.1.2020 0:00:01,C,4,359
17.1.2020 1:00:01,C,4,359
17.1.2020 2:00:01,C,4,359
17.1.2020 3:00:01,C,4,359
17.1.2020 4:00:01,C,4,422
17.1.2020 5:00:01,C,4,422
17.1.2020 6:00:01,C,4,485
17.1.2020 7:00:01,C,4,735
17.1.2020 8:00:01,C,6,678
17.1.2020 9:00:01,C,5,926
17.1.2020 10:00:01,C,7,618
17.1.2020 11:00:01,C,5,989
17.1.2020 12:00:01,C,6,678
17.1.2020 13:00:01,C,5,926
17.1.2020 14:00:01,C,6,239
17.1.2020 15:00:01,C,7,054
17.1.2020 16:00:01,C,7,492
17.1.2020 17:00:01,C,7,242
17.1.2020 18:00:01,C,6,427
17.1.2020 19:00:01,C,5,863
17.1.2020 20:00:01,C,5,487
17.1.2020 21:00:01,C,4,986
17.1.2020 22:00:01,C,4,798
17.1.2020 23:00:01,C,4,735
18.1.2020 0:00:01,C,4,735
18.1.2020 1:00:01,C,4,798
18.1.2020 2:00:01,C,4,735
18.1.2020 3:00:01,C,4,798
18.1.2020 4:00:01,C,4,798
18.1.2020 5:00:01,C,4,923
18.1.2020 6:00:01,C,4,986
18.1.2020 7:00:01,C,5,174
18.1.2020 8:00:01,C,5,487
18.1.2020 9:00:01,C,5,55
18.1.2020 10:00:01,C,5,675
18.1.2020 11:00:01,C,5,926
18.1.2020 12:00:01,C,5,801
18.1.2020 13:00:01,C,5,801
18.1.2020 14:00:01,C,5,613
18.1.2020 15:00:01,C,5,487
18.1.2020 16:00:01,C,5,487
18.1.2020 17:00:01,C,5,299
18.1.2020 18:00:01,C,5,111
18.1.2020 19:00:01,C,4,986
18.1.2020 20:00:01,C,4,861
18.1.2020 21:00:01,C,4,861
18.1.2020 22:00:01,C,4,798
18.1.2020 23:00:01,C,4,735
19.1.2020 0:00:01,C,4,61
19.1.2020 1:00:01,C,4,61
19.1.2020 2:00:01,C,4,547
19.1.2020 3:00:01,C,4,61
19.1.2020 4:00:01,C,4,61
19.1.2020 5:00:01,C,4,61
19.1.2020 6:00:01,C,4,673
19.1.2020 7:00:01,C,4,735
19.1.2020 8:00:01,C,4,798
19.1.2020 9:00:01,C,4,986
19.1.2020 10:00:01,C,5,049
19.1.2020 11:00:01,C,5,049
19.1.2020 12:00:01,C,5,111
19.1.2020 13:00:01,C,5,237
19.1.2020 14:00:01,C,5,049
19.1.2020 15:00:01,C,4,986
19.1.2020 16:00:01,C,4,986
19.1.2020 17:00:01,C,4,798
19.1.2020 18:00:01,C,4,673
19.1.2020 19:00:01,C,4,547
19.1.2020 20:00:01,C,4,422
19.1.2020 21:00:01,C,4,359
19.1.2020 22:00:01,C,4,297
19.1.2020 23:00:01,C,4,234
20.1.2020 0:00:01,C,4,234
20.1.2020 1:00:01,C,4,171
20.1.2020 2:00:01,C,4,171
20.1.2020 3:00:01,C,4,171
20.1.2020 4:00:01,C,4,234
20.1.2020 5:00:01,C,4,359
20.1.2020 6:00:01,C,4,422
20.1.2020 7:00:01,C,4,547
20.1.2020 8:00:01,C,4,798
20.1.2020 9:00:01,C,5,049
20.1.2020 10:00:01,C,5,174
20.1.2020 11:00:01,C,6,928
20.1.2020 12:00:01,C,5,926
20.1.2020 13:00:01,C,6,114
20.1.2020 14:00:01,C,5,926
20.1.2020 15:00:01,C,5,863
20.1.2020 16:00:01,C,5,425
20.1.2020 17:00:01,C,5,237
20.1.2020 18:00:01,C,5,174
20.1.2020 19:00:01,C,5,049
20.1.2020 20:00:01,C,4,986
20.1.2020 21:00:01,C,4,861
20.1.2020 22:00:01,C,4,735
20.1.2020 23:00:01,C,4,673
21.1.2020 0:00:01,C,4,673
21.1.2020 1:00:01,C,4,673
21.1.2020 2:00:01,C,4,547
21.1.2020 3:00:01,C,4,61
21.1.2020 4:00:01,C,4,61
21.1.2020 5:00:01,C,4,673
21.1.2020 6:00:01,C,4,798
21.1.2020 7:00:01,C,5,111
21.1.2020 8:00:01,C,5,801
21.1.2020 9:00:01,C,5,989
21.1.2020 10:00:01,C,5,487
21.1.2020 11:00:01,C,7,054
21.1.2020 12:00:01,C,7,43
21.1.2020 13:00:01,C,6,427
21.1.2020 14:00:01,C,5,425
21.1.2020 15:00:01,C,5,487
21.1.2020 16:00:01,C,5,675
21.1.2020 17:00:01,C,5,487
21.1.2020 18:00:01,C,5,362
21.1.2020 19:00:01,C,5,174
21.1.2020 20:00:01,C,5,049
21.1.2020 21:00:01,C,4,923
21.1.2020 22:00:01,C,4,861
21.1.2020 23:00:01,C,4,861
22.1.2020 0:00:01,C,4,798
22.1.2020 1:00:01,C,4,61
22.1.2020 2:00:01,C,4,735
22.1.2020 3:00:01,C,4,673
22.1.2020 4:00:01,C,4,861
22.1.2020 5:00:01,C,4,861
22.1.2020 6:00:01,C,5,049
22.1.2020 7:00:01,C,5,237
22.1.2020 8:00:01,C,5,55
22.1.2020 9:00:01,C,6,866
22.1.2020 10:00:01,C,6,051
22.1.2020 11:00:01,C,6,991
22.1.2020 12:00:01,C,7,43
22.1.2020 13:00:01,C,7,993
22.1.2020 14:00:01,C,7,555
22.1.2020 15:00:01,C,6,051
22.1.2020 16:00:01,C,5,675
22.1.2020 17:00:01,C,5,487
22.1.2020 18:00:01,C,5,362
22.1.2020 19:00:01,C,5,299
22.1.2020 20:00:01,C,5,174
22.1.2020 21:00:01,C,5,111
22.1.2020 22:00:01,C,5,049
22.1.2020 23:00:01,C,4,986
23.1.2020 0:00:01,C,4,986
23.1.2020 1:00:01,C,4,923
23.1.2020 2:00:01,C,4,923
23.1.2020 3:00:01,C,4,923
23.1.2020 4:00:01,C,4,923
23.1.2020 5:00:01,C,4,986
23.1.2020 6:00:01,C,4,986
23.1.2020 7:00:01,C,5,049
23.1.2020 8:00:01,C,5,111
23.1.2020 9:00:01,C,5,237
23.1.2020 10:00:01,C,5,299
23.1.2020 11:00:01,C,5,675
23.1.2020 12:00:01,C,5,299
23.1.2020 13:00:01,C,5,299
23.1.2020 14:00:01,C,5,487
23.1.2020 15:00:01,C,6,365
23.1.2020 16:00:01,C,5,425
23.1.2020 17:00:01,C,5,299
23.1.2020 18:00:01,C,5,174
23.1.2020 19:00:01,C,5,049
23.1.2020 20:00:01,C,4,986
23.1.2020 21:00:01,C,4,798
23.1.2020 22:00:01,C,4,735
23.1.2020 23:00:01,C,4,673
24.1.2020 0:00:01,C,4,673
24.1.2020 1:00:01,C,4,547
24.1.2020 2:00:01,C,4,547
24.1.2020 3:00:01,C,4,485
24.1.2020 4:00:01,C,4,673
24.1.2020 5:00:01,C,4,923
24.1.2020 6:00:01,C,6,114
24.1.2020 7:00:01,C,6,114
24.1.2020 8:00:01,C,6,427
24.1.2020 9:00:01,C,5,675
24.1.2020 10:00:01,C,5,487
24.1.2020 11:00:01,C,5,55
24.1.2020 12:00:01,C,5,299
24.1.2020 13:00:01,C,5,425
24.1.2020 14:00:01,C,5,425
24.1.2020 15:00:01,C,5,362
24.1.2020 16:00:01,C,5,237
24.1.2020 17:00:01,C,5,174
24.1.2020 18:00:01,C,5,049
24.1.2020 19:00:01,C,4,923
24.1.2020 20:00:01,C,4,861
24.1.2020 21:00:01,C,4,673
24.1.2020 22:00:01,C,4,673
24.1.2020 23:00:01,C,4,485
25.1.2020 0:00:01,C,4,547
25.1.2020 1:00:01,C,4,547
25.1.2020 2:00:01,C,4,485
25.1.2020 3:00:01,C,4,673
25.1.2020 4:00:01,C,4,735
25.1.2020 5:00:01,C,4,798
25.1.2020 6:00:01,C,5,362
25.1.2020 7:00:01,C,4,798
25.1.2020 8:00:01,C,4,923
25.1.2020 9:00:01,C,5,111
25.1.2020 10:00:01,C,5,237
25.1.2020 11:00:01,C,5,362
25.1.2020 12:00:01,C,5,487
25.1.2020 13:00:01,C,5,613
25.1.2020 14:00:01,C,5,801
25.1.2020 15:00:01,C,5,801
25.1.2020 16:00:01,C,5,55
25.1.2020 17:00:01,C,5,487
25.1.2020 18:00:01,C,5,362
25.1.2020 19:00:01,C,5,237
25.1.2020 20:00:01,C,4,986
25.1.2020 21:00:01,C,4,923
25.1.2020 22:00:01,C,4,861
25.1.2020 23:00:01,C,4,735
26.1.2020 0:00:01,C,4,735
26.1.2020 1:00:01,C,4,61
26.1.2020 2:00:01,C,4,485
26.1.2020 3:00:01,C,4,735
26.1.2020 4:00:01,C,4,861
26.1.2020 5:00:01,C,4,861
26.1.2020 6:00:01,C,4,861
26.1.2020 7:00:01,C,5,111
26.1.2020 8:00:01,C,5,613
26.1.2020 9:00:01,C,5,55
26.1.2020 10:00:01,C,5,299
26.1.2020 11:00:01,C,5,362
26.1.2020 12:00:01,C,5,362
26.1.2020 13:00:01,C,5,425
26.1.2020 14:00:01,C,5,675
26.1.2020 15:00:01,C,5,613
26.1.2020 16:00:01,C,5,425
26.1.2020 17:00:01,C,5,362
26.1.2020 18:00:01,C,5,237
26.1.2020 19:00:01,C,5,174
26.1.2020 20:00:01,C,5,111
