Date_Time, npoints, u_starr, taur, Hcr, LE_wplr, Evap, Fc_wplr,Fc_wpl_umol, CO2_conc,CO2_PPM, CO2_sig_str, H2O_conc, H2O_sig_str, Temp_amb,Amb_Press, wind_speed, wind_dir,obukhov,zeta,rou,sigmaw_ustar,Xmax,XR90,Cd2m,Ce2m,
TS, Tot, m/s, Kg/(m s^2), W/m^2, W/m^2, L/m^2, mg/(m^2 s),umol/(m^2 s), mg/m^3,PPM, arb, g/m^3, arb, Celsius,kPa, m/s, Degrees, m, arb, m,arb, m,m, arb,arb,
20/01/02 06:30 07:00,36000.0,0.348858,-0.149830,-5.797383,39.399883,0.028374,0.000886,0.020125,757.030533,404.697886,0.955000,2.530602,0.944985,1.048853,97.071670,3.590053,95.119701,635.509432,0.002832,0.000180,3.566884,47.319849,94.639697,0.001880,0.001652,
20/01/02 07:00 07:30,35999.0,0.291248,-0.104483,7.124783,31.326345,0.022386,0.004760,0.108167,757.446488,404.709727,0.954995,2.721951,0.944820,1.009520,97.072702,2.950524,94.768678,-300.945497,-0.005981,0.000125,4.288680,48.590267,97.180535,0.001755,0.001614,
20/01/02 07:30 08:00,36000.0,0.217902,-0.058431,2.385836,27.105313,0.019423,-0.006121,-0.139077,757.112006,404.897617,0.955000,2.866612,0.944630,1.198143,97.076511,3.007092,101.930309,-376.421470,-0.004782,0.000070,6.518881,45.890877,91.781754,0.001558,0.001544,
20/01/02 08:00 08:30,35999.0,0.392692,-0.189336,-9.070069,59.913747,0.043182,0.013736,0.312111,755.536612,404.991910,0.954899,2.493586,0.944427,1.787026,97.080854,5.827211,103.036696,579.411228,0.003107,0.000228,3.669486,41.252059,82.504119,0.001980,0.001684,
20/01/02 08:30 09:00,36000.0,0.471283,-0.272796,-10.934462,77.989017,0.056197,0.011905,0.270515,755.695789,404.945882,0.954920,2.389919,0.944269,1.723174,97.088451,6.923164,105.591711,830.792531,0.002167,0.000328,2.767728,43.292672,86.585344,0.002153,0.001731,
20/01/02 09:00 09:30,35999.0,0.400172,-0.196697,-3.080649,61.120853,0.043965,0.003264,0.074172,755.656602,404.890257,0.954965,2.590890,0.944634,1.752920,97.109851,5.879708,104.196101,1805.917954,0.000997,0.000237,3.397055,43.082578,86.165155,0.002001,0.001693,
20/01/02 09:30 10:00,35999.0,0.421967,-0.218880,-2.676087,63.590460,0.045728,0.011665,0.265062,756.324298,404.927203,0.954921,2.561571,0.944243,1.615385,97.127461,6.496510,105.844105,2437.830754,0.000738,0.000263,3.337685,41.502161,83.004322,0.002050,0.001707,
20/01/02 10:00 10:30,36000.0,0.440132,-0.238452,4.799880,63.454218,0.045500,-0.004626,-0.105119,756.940760,404.705655,0.954966,2.729784,0.944283,1.291409,97.144121,5.200094,101.424818,-1542.807908,-0.001167,0.000286,2.859176,45.085802,90.171604,0.002094,0.001721,
20/01/02 10:30 11:00,35999.0,0.373917,-0.172114,0.786889,52.830318,0.037920,0.001339,0.030418,757.091693,404.752208,0.954820,2.885270,0.944065,1.300182,97.154213,4.955344,101.608075,-5771.570317,-0.000312,0.000207,3.614196,43.785673,87.571347,0.001944,0.001677,
20/01/02 11:00 11:30,36000.0,0.374822,-0.173013,22.143524,51.665444,0.036744,-0.011441,-0.259971,757.242954,404.680170,0.954891,2.949233,0.944235,1.196920,97.164109,4.946707,98.490988,-206.620611,-0.008712,0.000208,3.777897,42.162347,84.324694,0.001960,0.001694,
20/01/02 11:30 12:00,35999.0,0.515881,-0.327859,6.159091,54.148513,0.038771,-0.011213,-0.254775,757.384190,404.607305,0.954846,2.979016,0.944302,1.161436,97.178826,4.330832,96.594135,-1937.106304,-0.000929,0.000393,2.115361,49.144208,98.288416,0.002254,0.001757,
20/01/02 12:00 12:30,36000.0,0.434911,-0.232929,24.017444,43.734588,0.031003,-0.017811,-0.404712,757.285585,404.704208,0.954907,3.065011,0.944192,1.281706,97.182444,3.983504,94.164567,-297.670180,-0.006047,0.000280,2.622108,48.882476,97.764952,0.002091,0.001728,
20/01/02 12:30 13:00,35999.0,0.409165,-0.206198,9.393776,40.986276,0.029257,-0.015916,-0.361639,757.405901,404.706393,0.954969,3.175577,0.944439,1.236649,97.192061,3.922151,97.867982,-633.861259,-0.002840,0.000247,2.960707,47.065492,94.130984,0.002029,0.001706,
20/01/02 13:00 13:30,36000.0,0.390137,-0.187608,28.944794,41.248461,0.029117,-0.020173,-0.458369,757.937546,404.681954,0.954994,3.151423,0.944524,1.035527,97.201192,3.777676,95.188689,-178.341281,-0.010093,0.000225,3.146444,46.948531,93.897063,0.001998,0.001708,
20/01/02 13:30 14:00,35999.0,0.260871,-0.083997,11.171335,29.365629,0.020871,-0.009315,-0.211658,758.223809,404.276221,0.955000,3.239079,0.944664,0.655643,97.209640,3.686279,104.526847,-138.166841,-0.013028,0.000101,5.206571,46.246919,92.493839,0.001685,0.001593,
20/01/02 14:00 14:30,36000.0,0.236800,-0.069244,3.912441,29.728058,0.021256,-0.001771,-0.040234,758.571320,404.270938,0.955000,3.185412,0.944639,0.508156,97.216064,3.921842,106.869488,-295.080835,-0.006100,0.000083,6.049562,44.997737,89.995475,0.001612,0.001563,
20/01/02 14:30 15:00,35999.0,0.292725,-0.105802,0.588741,30.427682,0.021818,-0.003457,-0.078557,758.102879,404.067147,0.955000,3.098469,0.944938,0.567358,97.228315,3.862855,103.689325,-3704.494971,-0.000486,0.000127,4.312829,48.137928,96.275856,0.001751,0.001605,
20/01/02 15:00 15:30,35999.0,0.263721,-0.085920,NaN,NaN,NaN,-0.032786,-0.744978,758.316094,403.966855,0.954997,3.183502,0.944494,0.424340,97.229865,4.410366,102.256787,-NaN,-NaN,0.000103,5.241603,45.522768,91.045537,NaN,NaN,
20/01/02 15:30 16:00,36000.0,0.219043,-0.059243,10.010336,22.712564,0.016116,-0.011436,-0.259846,758.067773,404.040533,0.955000,3.265601,0.944700,0.638514,97.226408,3.209966,101.702447,-91.297051,-0.019716,0.000071,5.740561,50.551870,101.103740,0.001578,0.001569,
20/01/02 16:00 16:30,35999.0,0.220610,-0.060007,46.661108,20.959637,0.014172,-0.056612,-1.286362,757.819558,404.482078,0.955067,3.491786,0.945047,1.178523,97.228353,1.663227,84.604076,-20.013111,-0.089941,0.000072,6.195921,47.234714,94.469428,0.001644,0.001659,
20/01/02 16:30 17:00,36000.0,0.157754,-0.030704,5.572063,17.022781,0.012109,-0.007835,-0.178037,758.155678,404.397434,0.955000,3.379899,0.945001,0.899742,97.226553,1.865558,108.439548,-61.273793,-0.029376,0.000037,9.245175,47.167746,94.335491,0.001399,0.001512,
20/01/02 17:00 17:30,35999.0,0.172713,-0.036756,3.898068,16.394415,0.011689,-0.010510,-0.238804,757.497880,404.564844,0.955000,3.476774,0.945000,1.280228,97.234659,1.871089,102.396073,-114.959398,-0.015658,0.000044,7.458065,51.402913,102.805826,0.001435,0.001512,
20/01/02 17:30 18:00,36000.0,0.200121,-0.049348,7.994066,15.941645,0.011281,-0.020075,-0.456152,756.905132,404.242374,0.955000,3.615205,0.945000,1.287116,97.251807,1.677950,101.010016,-87.226147,-0.020636,0.000059,6.895938,47.579703,95.159407,0.001524,0.001551,
20/01/02 18:00 18:30,35999.0,0.299635,-0.110552,10.691862,29.303724,0.020830,-0.005633,-0.127995,756.688510,404.409391,0.954998,3.486106,0.944840,1.410695,97.265976,3.877214,103.527374,-218.918365,-0.008222,0.000133,4.882874,42.619884,85.239768,0.001779,0.001627,
20/01/02 18:30 19:00,36000.0,0.312370,-0.120109,-1.528620,34.255228,0.024613,0.005840,0.132707,755.463443,403.892291,0.955000,3.421287,0.944939,1.479649,97.288376,4.769442,104.495842,1735.198113,0.001037,0.000144,4.148331,46.650332,93.300665,0.001796,0.001622,
20/01/02 19:00 19:30,35991.0,0.257271,-0.081506,10.152987,17.935972,0.012671,-0.010351,-0.235210,755.872936,403.948408,0.954765,3.665859,0.944775,1.393689,97.309951,2.412466,89.078449,-146.012544,-0.012328,0.000098,4.685082,50.995551,101.991101,0.001675,0.001589,
20/01/02 19:30 20:00,35985.0,0.336865,-0.139584,-11.450976,35.270900,0.025531,0.007934,0.180286,755.363500,404.127212,0.954994,3.519831,0.944991,1.730105,97.328845,4.705753,109.215432,290.654278,0.006193,0.000168,3.508696,49.593768,99.187536,0.001845,0.001636,
20/01/02 20:00 20:30,36000.0,0.347653,-0.148674,-14.553924,40.091957,0.029049,0.012316,0.279848,755.359207,404.108934,0.955000,3.481428,0.944998,1.784846,97.348280,5.558751,108.763627,251.410631,0.007160,0.000179,3.695636,46.150351,92.300701,0.001868,0.001644,
20/01/02 20:30 21:00,35999.0,0.248346,-0.075922,-6.741278,25.401971,0.018358,0.000702,0.015948,755.921642,404.116632,0.954997,3.602065,0.944999,1.632996,97.367428,3.986173,104.165575,197.914805,0.009095,0.000091,6.151515,42.423319,84.846639,0.001621,0.001547,
20/01/02 21:00 21:30,36000.0,0.278921,-0.095868,NaN,NaN,NaN,0.011172,0.253849,756.526139,404.013869,0.954995,3.641882,0.944990,1.363978,97.382824,4.363352,106.461534,-NaN,-NaN,0.000115,4.316855,50.386996,100.773991,NaN,NaN,
20/01/02 21:30 22:00,35992.0,0.217026,-0.058066,-6.099044,18.729996,0.013555,-0.003278,-0.074474,756.527031,403.836737,0.954994,3.708630,0.944994,1.271125,97.399540,3.596596,108.759811,146.047012,0.012325,0.000070,6.313772,47.261043,94.522086,0.001531,0.001516,
20/01/02 22:00 22:30,36000.0,0.321403,-0.127478,-12.738461,31.656353,0.022951,0.011833,0.268878,757.368565,403.881726,0.955000,3.650502,0.944981,1.097592,97.423453,5.002437,111.341795,227.166098,0.007924,0.000153,4.018514,46.555627,93.111254,0.001805,0.001620,
20/01/02 22:30 23:00,35999.0,0.264432,-0.086364,-10.084379,24.688395,0.017898,0.005076,0.115329,757.682693,403.709972,0.955000,3.607822,0.945000,0.899188,97.443570,4.239675,112.625344,159.837680,0.011261,0.000103,4.821079,48.547143,97.094285,0.001659,0.001556,
20/01/02 23:00 23:30,35999.0,0.313058,-0.121045,-11.969043,27.738660,0.020118,0.010167,0.231019,757.760499,403.757887,0.955000,3.493560,0.944995,0.959359,97.454892,5.138099,112.058606,223.468244,0.008055,0.000145,3.872995,49.180830,98.361660,0.001785,0.001612,
20/01/02 23:30 24:00,36000.0,0.290945,-0.104572,-13.262684,29.236960,0.021213,0.009587,0.217847,757.864062,403.727012,0.955000,3.396516,0.944998,0.947471,97.470530,5.005528,112.716590,161.899007,0.011118,0.000125,4.626595,45.775602,91.551203,0.001725,0.001585,
20/01/03 00:00 00:30,35999.0,0.254983,-0.080351,-13.169215,24.976973,0.018158,0.008944,0.203218,758.029421,403.649610,0.954999,3.509560,0.944995,0.851834,97.473070,4.052173,116.409628,109.763681,0.016399,0.000096,4.931818,49.364905,98.729811,0.001626,0.001541,
20/01/03 00:30 01:00,36000.0,0.232180,-0.066646,NaN,NaN,NaN,0.029864,0.678577,757.657724,403.302499,0.954985,3.605480,0.944982,0.717373,97.477592,3.582396,120.385947,-NaN,-NaN,0.000080,5.343148,50.641927,101.283853,NaN,NaN,
20/01/03 01:00 01:30,35999.0,0.188970,-0.044130,-10.525610,18.526062,0.013481,0.003711,0.084329,757.618340,403.446885,0.954999,3.463928,0.944999,0.882850,97.481049,3.202513,118.853885,55.903496,0.032198,0.000053,7.067319,49.270039,98.540079,0.001424,0.001460,
20/01/03 01:30 02:00,36000.0,0.199203,-0.049053,-11.222050,21.797508,0.015840,0.006057,0.137634,757.673553,403.364998,0.954998,3.458627,0.944999,0.818705,97.491255,3.418823,119.255509,61.428603,0.029302,0.000059,7.045685,46.974123,93.948246,0.001457,0.001475,
20/01/03 02:00 02:30,35999.0,0.282784,-0.099007,-12.882558,28.026298,0.020336,0.008365,0.190080,758.941216,403.400926,0.954998,3.603299,0.944919,0.469147,97.509892,4.135680,119.924475,153.122572,0.011755,0.000118,4.254130,50.311447,100.622894,0.001704,0.001575,
20/01/03 02:30 03:00,35999.0,0.254662,-0.080387,-10.110094,26.820055,0.019415,0.005820,0.132238,759.259851,403.104723,0.955000,3.643521,0.944999,0.169553,97.524667,4.187481,122.745516,142.525493,0.012629,0.000096,5.264203,46.911624,93.823248,0.001631,0.001547,
20/01/03 03:00 03:30,36000.0,0.274760,-0.093539,-11.854068,24.243743,0.017604,0.006285,0.142809,759.015979,403.131748,0.955000,3.633267,0.945000,0.309126,97.534726,3.766394,118.012445,152.681730,0.011789,0.000112,4.063603,53.652431,107.304862,0.001684,0.001566,
