"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
3416,01.23.18 klo 08.10.00 ap.,98.769,1.656,100.205,,,,,
3417,01.23.18 klo 08.20.00 ap.,98.778,1.656,100.206,,,,,
3418,01.23.18 klo 08.30.00 ap.,98.772,1.764,100.205,,,,,
3419,01.23.18 klo 08.40.00 ap.,98.787,1.980,100.207,,,,,
3420,01.23.18 klo 08.50.00 ap.,98.800,2.088,100.208,,,,,
3421,01.23.18 klo 09.00.00 ap.,98.800,2.088,100.208,,,,,
3422,01.23.18 klo 09.10.00 ap.,98.802,2.195,100.208,,,,,
3423,01.23.18 klo 09.20.00 ap.,98.805,2.303,100.208,,,,,
3424,01.23.18 klo 09.30.00 ap.,98.796,2.303,100.207,,,,,
3425,01.23.18 klo 09.40.00 ap.,98.789,2.410,100.207,,,,,
3426,01.23.18 klo 09.50.00 ap.,98.792,2.517,100.207,,,,,
3427,01.23.18 klo 10.00.00 ap.,98.795,2.624,100.207,,,,,
3428,01.23.18 klo 10.10.00 ap.,98.786,2.624,100.206,,,,,
3429,01.23.18 klo 10.20.00 ap.,98.783,2.517,100.206,,,,,
3430,01.23.18 klo 10.30.00 ap.,98.783,2.517,100.206,,,,,
3431,01.23.18 klo 10.40.00 ap.,98.786,2.624,100.206,,,,,
3432,01.23.18 klo 10.50.00 ap.,98.770,2.730,100.205,,,,,
3433,01.23.18 klo 11.00.00 ap.,98.792,2.837,100.207,,,,,
3434,01.23.18 klo 11.10.00 ap.,98.797,3.049,100.208,,,,,
3435,01.23.18 klo 11.20.00 ap.,98.788,3.049,100.207,,,,,
3436,01.23.18 klo 11.30.00 ap.,98.791,3.155,100.207,,,,,
3437,01.23.18 klo 11.40.00 ap.,98.794,3.261,100.207,,,,,
3438,01.23.18 klo 11.50.00 ap.,98.790,3.472,100.207,,,,,
3439,01.23.18 klo 12.00.00 ip.,98.802,3.578,100.208,,,,,
3440,01.23.18 klo 12.10.00 ip.,98.805,3.683,100.208,,,,,
3441,01.23.18 klo 12.20.00 ip.,98.818,3.788,100.210,,,,,
3442,01.23.18 klo 12.30.00 ip.,98.799,3.788,100.208,,,,,
3443,01.23.18 klo 12.40.00 ip.,98.811,3.893,100.209,,,,,
3444,01.23.18 klo 12.50.00 ip.,98.805,3.998,100.208,,,,,
3445,01.23.18 klo 01.00.00 ip.,98.810,4.207,100.209,,,,,
3446,01.23.18 klo 01.10.00 ip.,98.832,4.311,100.211,,,,,
3447,01.23.18 klo 01.20.00 ip.,98.828,4.519,100.211,,,,,
3448,01.23.18 klo 01.30.00 ip.,98.812,4.623,100.209,,,,,
3449,01.23.18 klo 01.40.00 ip.,98.837,4.831,100.212,,,,,
3450,01.23.18 klo 01.50.00 ip.,98.849,4.934,100.213,,,,,
3451,01.23.18 klo 02.00.00 ip.,98.871,5.037,100.215,,,,,
3452,01.23.18 klo 02.10.00 ip.,98.864,5.141,100.215,,,,,
3453,01.23.18 klo 02.20.00 ip.,98.858,5.244,100.214,,,,,
3454,01.23.18 klo 02.30.00 ip.,98.861,5.347,100.215,,,,,
3455,01.23.18 klo 02.40.00 ip.,98.870,5.347,100.215,,,,,
3456,01.23.18 klo 02.50.00 ip.,98.864,5.450,100.215,,,,,
3457,01.23.18 klo 03.00.00 ip.,98.883,5.450,100.217,,,,,
3458,01.23.18 klo 03.10.00 ip.,98.885,5.552,100.217,,,,,
3459,01.23.18 klo 03.20.00 ip.,98.904,5.552,100.219,,,,,
3460,01.23.18 klo 03.30.00 ip.,98.907,5.655,100.219,,,,,
3461,01.23.18 klo 03.40.00 ip.,98.926,5.655,100.221,,,,,
3462,01.23.18 klo 03.50.00 ip.,98.919,5.757,100.221,,,,,
3463,01.23.18 klo 04.00.00 ip.,98.919,5.757,100.221,,,,,
3464,01.23.18 klo 04.10.00 ip.,98.938,5.757,100.223,,,,,
3465,01.23.18 klo 04.20.00 ip.,98.922,5.860,100.221,,,,,
3466,01.23.18 klo 04.30.00 ip.,98.932,5.860,100.222,,,,,
3467,01.23.18 klo 04.40.00 ip.,98.932,5.860,100.222,,,,,
3468,01.23.18 klo 04.50.00 ip.,98.922,5.860,100.221,,,,,
3469,01.23.18 klo 05.00.00 ip.,98.916,5.962,100.220,,,,,
3470,01.23.18 klo 05.10.00 ip.,98.937,6.064,100.223,,,,,
3471,01.23.18 klo 05.20.00 ip.,98.947,6.064,100.224,,,,,
3472,01.23.18 klo 05.30.00 ip.,98.943,6.268,100.223,,,,,
3473,01.23.18 klo 05.40.00 ip.,98.946,6.370,100.224,,,,,
3474,01.23.18 klo 05.50.00 ip.,98.949,6.471,100.224,,,,,
3475,01.23.18 klo 06.00.00 ip.,98.952,6.573,100.224,,,,,
3476,01.23.18 klo 06.10.00 ip.,98.940,6.471,100.223,,,,,
3477,01.23.18 klo 06.20.00 ip.,98.946,6.370,100.224,,,,,
3478,01.23.18 klo 06.30.00 ip.,98.943,6.268,100.223,,,,,
3479,01.23.18 klo 06.40.00 ip.,98.956,6.064,100.224,,,,,
3480,01.23.18 klo 06.50.00 ip.,98.953,5.962,100.224,,,,,
3481,01.23.18 klo 07.00.00 ip.,98.960,5.860,100.225,,,,,
3482,01.23.18 klo 07.10.00 ip.,98.976,5.757,100.226,,,,,
3483,01.23.18 klo 07.20.00 ip.,98.980,5.552,100.227,,,,,
3484,01.23.18 klo 07.30.00 ip.,98.977,5.450,100.226,,,,,
3485,01.23.18 klo 07.40.00 ip.,98.974,5.347,100.226,,,,,
3486,01.23.18 klo 07.50.00 ip.,98.981,5.244,100.227,,,,,
3487,01.23.18 klo 08.00.00 ip.,98.987,5.141,100.227,,,,,
3488,01.23.18 klo 08.10.00 ip.,99.000,4.934,100.229,,,,,
3489,01.23.18 klo 08.20.00 ip.,99.007,4.831,100.229,,,,,
3490,01.23.18 klo 08.30.00 ip.,99.004,4.727,100.229,,,,,
3491,01.23.18 klo 08.40.00 ip.,99.010,4.623,100.229,,,,,
3492,01.23.18 klo 08.50.00 ip.,98.998,4.519,100.228,,,,,
3493,01.23.18 klo 09.00.00 ip.,99.023,4.415,100.231,,,,,
3494,01.23.18 klo 09.10.00 ip.,99.030,4.311,100.231,,,,,
3495,01.23.18 klo 09.20.00 ip.,99.008,4.207,100.229,,,,,
3496,01.23.18 klo 09.30.00 ip.,99.043,4.102,100.233,,,,,
3497,01.23.18 klo 09.40.00 ip.,99.059,3.998,100.234,,,,,
3498,01.23.18 klo 09.50.00 ip.,99.037,3.893,100.232,,,,,
3499,01.23.18 klo 10.00.00 ip.,99.047,3.893,100.233,,,,,
3500,01.23.18 klo 10.10.00 ip.,99.063,3.788,100.235,,,,,
3501,01.23.18 klo 10.20.00 ip.,99.072,3.788,100.236,,,,,
3502,01.23.18 klo 10.30.00 ip.,99.050,3.683,100.233,,,,,
3503,01.23.18 klo 10.40.00 ip.,99.079,3.683,100.236,,,,,
3504,01.23.18 klo 10.50.00 ip.,99.104,3.578,100.239,,,,,
3505,01.23.18 klo 11.00.00 ip.,99.085,3.578,100.237,,,,,
3506,01.23.18 klo 11.10.00 ip.,99.101,3.472,100.239,,,,,
3507,01.23.18 klo 11.20.00 ip.,99.108,3.367,100.239,,,,,
3508,01.23.18 klo 11.30.00 ip.,99.114,3.261,100.240,,,,,
3509,01.23.18 klo 11.40.00 ip.,99.111,3.155,100.240,,,,,
3510,01.23.18 klo 11.50.00 ip.,99.127,3.049,100.241,,,,,
3511,01.24.18 klo 12.00.00 ap.,99.134,2.943,100.242,,,,,
3512,01.24.18 klo 12.10.00 ap.,99.131,2.837,100.242,,,,,
3513,01.24.18 klo 12.20.00 ap.,99.150,2.837,100.244,,,,,
3514,01.24.18 klo 12.30.00 ap.,99.147,2.730,100.243,,,,,
3515,01.24.18 klo 12.40.00 ap.,99.166,2.730,100.245,,,,,
3516,01.24.18 klo 12.50.00 ap.,99.172,2.624,100.246,,,,,
3517,01.24.18 klo 01.00.00 ap.,99.182,2.624,100.247,,,,,
3518,01.24.18 klo 01.10.00 ap.,99.200,2.624,100.249,,,,,
3519,01.24.18 klo 01.20.00 ap.,99.188,2.517,100.247,,,,,
3520,01.24.18 klo 01.30.00 ap.,99.160,2.517,100.245,,,,,
3521,01.24.18 klo 01.40.00 ap.,99.166,2.410,100.245,,,,,
3522,01.24.18 klo 01.50.00 ap.,99.176,2.410,100.246,,,,,
3523,01.24.18 klo 02.00.00 ap.,99.185,2.410,100.247,,,,,
3524,01.24.18 klo 02.10.00 ap.,99.223,2.410,100.251,,,,,
3525,01.24.18 klo 02.20.00 ap.,99.201,2.303,100.249,,,,,
3526,01.24.18 klo 02.30.00 ap.,99.236,2.195,100.252,,,,,
3527,01.24.18 klo 02.40.00 ap.,99.205,2.088,100.249,,,,,
3528,01.24.18 klo 02.50.00 ap.,99.227,1.872,100.251,,,,,
3529,01.24.18 klo 03.00.00 ap.,99.237,1.872,100.253,,,,,
3530,01.24.18 klo 03.10.00 ap.,99.243,1.764,100.253,,,,,
3531,01.24.18 klo 03.20.00 ap.,99.205,1.764,100.249,,,,,
3532,01.24.18 klo 03.30.00 ap.,99.250,1.656,100.254,,,,,
3533,01.24.18 klo 03.40.00 ap.,99.275,1.548,100.256,,,,,
3534,01.24.18 klo 03.50.00 ap.,99.237,1.548,100.253,,,,,
3535,01.24.18 klo 04.00.00 ap.,99.265,1.548,100.255,,,,,
3536,01.24.18 klo 04.10.00 ap.,99.265,1.548,100.255,,,,,
3537,01.24.18 klo 04.20.00 ap.,99.244,1.439,100.253,,,,,
3538,01.24.18 klo 04.30.00 ap.,99.253,1.439,100.254,,,,,
3539,01.24.18 klo 04.40.00 ap.,99.291,1.439,100.258,,,,,
3540,01.24.18 klo 04.50.00 ap.,99.260,1.330,100.255,,,,,
3541,01.24.18 klo 05.00.00 ap.,99.278,1.330,100.257,,,,,
3542,01.24.18 klo 05.10.00 ap.,99.294,1.221,100.258,,,,,
3543,01.24.18 klo 05.20.00 ap.,99.313,1.221,100.260,,,,,
3544,01.24.18 klo 05.30.00 ap.,99.285,1.221,100.258,,,,,
3545,01.24.18 klo 05.40.00 ap.,99.329,1.112,100.262,,,,,
3546,01.24.18 klo 05.50.00 ap.,99.310,1.112,100.260,,,,,
3547,01.24.18 klo 06.00.00 ap.,99.326,1.003,100.262,,,,,
3548,01.24.18 klo 06.10.00 ap.,99.364,1.003,100.266,,,,,
3549,01.24.18 klo 06.20.00 ap.,99.345,1.003,100.264,,,,,
3550,01.24.18 klo 06.30.00 ap.,99.354,1.003,100.265,,,,,
3551,01.24.18 klo 06.40.00 ap.,99.392,1.003,100.269,,,,,
3552,01.24.18 klo 06.50.00 ap.,99.411,1.003,100.270,,,,,
3553,01.24.18 klo 07.00.00 ap.,99.430,1.003,100.272,,,,,
3554,01.24.18 klo 07.10.00 ap.,99.430,1.003,100.272,,,,,
3555,01.24.18 klo 07.20.00 ap.,99.449,1.003,100.274,,,,,
3556,01.24.18 klo 07.30.00 ap.,99.474,0.893,100.277,,,,,
3557,01.24.18 klo 07.40.00 ap.,99.493,0.893,100.279,,,,,
3558,01.24.18 klo 07.50.00 ap.,99.502,0.893,100.280,,,,,
3559,01.24.18 klo 08.00.00 ap.,99.531,0.893,100.283,,,,,
3560,01.24.18 klo 08.10.00 ap.,99.512,0.893,100.281,,,,,
3561,01.24.18 klo 08.20.00 ap.,99.559,0.893,100.286,,,,,
3562,01.24.18 klo 08.30.00 ap.,99.562,1.003,100.286,,,,,
3563,01.24.18 klo 08.40.00 ap.,99.552,1.003,100.285,,,,,
3564,01.24.18 klo 08.50.00 ap.,99.562,1.003,100.286,,,,,
3565,01.24.18 klo 09.00.00 ap.,99.571,1.003,100.287,,,,,
3566,01.24.18 klo 09.10.00 ap.,99.593,1.112,100.289,,,,,
3567,01.24.18 klo 09.20.00 ap.,99.602,1.112,100.290,,,,,
3568,01.24.18 klo 09.30.00 ap.,99.615,1.221,100.291,,,,,
3569,01.24.18 klo 09.40.00 ap.,99.615,1.221,100.291,,,,,
3570,01.24.18 klo 09.50.00 ap.,99.627,1.330,100.292,,,,,
3571,01.24.18 klo 10.00.00 ap.,99.637,1.330,100.293,,,,,
3572,01.24.18 klo 10.10.00 ap.,99.630,1.439,100.293,,,,,
3573,01.24.18 klo 10.20.00 ap.,99.652,1.548,100.295,,,,,
3574,01.24.18 klo 10.30.00 ap.,99.664,1.656,100.296,,,,,
3575,01.24.18 klo 10.40.00 ap.,99.664,1.656,100.296,,,,,
3576,01.24.18 klo 10.50.00 ap.,99.686,1.764,100.298,,,,,
3577,01.24.18 klo 11.00.00 ap.,99.658,1.764,100.295,,,,,
3578,01.24.18 klo 11.10.00 ap.,99.689,1.872,100.299,,,,,
3579,01.24.18 klo 11.20.00 ap.,99.708,1.872,100.301,,,,,
3580,01.24.18 klo 11.30.00 ap.,99.701,1.980,100.300,,,,,
3581,01.24.18 klo 11.40.00 ap.,99.711,1.980,100.301,,,,,
3582,01.24.18 klo 11.50.00 ap.,99.723,2.088,100.302,,,,,
3583,01.24.18 klo 12.00.00 ip.,99.733,2.088,100.303,,,,,
3584,01.24.18 klo 12.10.00 ip.,99.726,2.195,100.302,,,,,
3585,01.24.18 klo 12.20.00 ip.,99.729,2.303,100.303,,,,,
3586,01.24.18 klo 12.30.00 ip.,99.732,2.410,100.303,,,,,
3587,01.24.18 klo 12.40.00 ip.,99.735,2.517,100.303,,,,,
3588,01.24.18 klo 12.50.00 ip.,99.738,2.624,100.304,,,,,
3589,01.24.18 klo 01.00.00 ip.,99.722,2.730,100.302,,,,,
3590,01.24.18 klo 01.10.00 ip.,99.756,2.943,100.305,,,,,
3591,01.24.18 klo 01.20.00 ip.,99.737,2.943,100.303,,,,,
3592,01.24.18 klo 01.30.00 ip.,99.750,3.049,100.305,,,,,
3593,01.24.18 klo 01.40.00 ip.,99.762,3.155,100.306,,,,,
3594,01.24.18 klo 01.50.00 ip.,99.762,3.155,100.306,,,,,
3595,01.24.18 klo 02.00.00 ip.,99.765,3.261,100.306,,,,,
3596,01.24.18 klo 02.10.00 ip.,99.739,3.367,100.304,,,,,
3597,01.24.18 klo 02.20.00 ip.,99.761,3.472,100.306,,,,,
3598,01.24.18 klo 02.30.00 ip.,99.755,3.578,100.305,,,,,
3599,01.24.18 klo 02.40.00 ip.,99.767,3.683,100.307,,,,,
3600,01.24.18 klo 02.50.00 ip.,99.751,3.788,100.305,,,,,
3601,01.24.18 klo 03.00.00 ip.,99.754,3.893,100.305,,,,,
3602,01.24.18 klo 03.10.00 ip.,99.754,3.893,100.305,,,,,
3603,01.24.18 klo 03.20.00 ip.,99.757,3.998,100.306,,,,,
3604,01.24.18 klo 03.30.00 ip.,99.741,4.102,100.304,,,,,
3605,01.24.18 klo 03.40.00 ip.,99.772,4.207,100.307,,,,,
3606,01.24.18 klo 03.50.00 ip.,99.763,4.207,100.306,,,,,
3607,01.24.18 klo 04.00.00 ip.,99.744,4.207,100.304,,,,,
3608,01.24.18 klo 04.10.00 ip.,99.747,4.311,100.305,,,,,
3609,01.24.18 klo 04.20.00 ip.,99.728,4.311,100.303,,,,,
3610,01.24.18 klo 04.30.00 ip.,99.740,4.415,100.304,,,,,
3611,01.24.18 klo 04.40.00 ip.,99.731,4.415,100.303,,,,,
3612,01.24.18 klo 04.50.00 ip.,99.750,4.415,100.305,,,,,
3613,01.24.18 klo 05.00.00 ip.,99.740,4.415,100.304,,,,,
3614,01.24.18 klo 05.10.00 ip.,99.740,4.415,100.304,,,,,
3615,01.24.18 klo 05.20.00 ip.,99.743,4.519,100.304,,,,,
3616,01.24.18 klo 05.30.00 ip.,99.734,4.519,100.303,,,,,
3617,01.24.18 klo 05.40.00 ip.,99.743,4.519,100.304,,,,,
3618,01.24.18 klo 05.50.00 ip.,99.743,4.519,100.304,,,,,
3619,01.24.18 klo 06.00.00 ip.,99.753,4.519,100.305,,,,,
3620,01.24.18 klo 06.10.00 ip.,99.753,4.519,100.305,,,,,
3621,01.24.18 klo 06.20.00 ip.,99.734,4.519,100.303,,,,,
3622,01.24.18 klo 06.30.00 ip.,99.750,4.415,100.305,,,,,
3623,01.24.18 klo 06.40.00 ip.,99.740,4.415,100.304,,,,,
3624,01.24.18 klo 06.50.00 ip.,99.747,4.311,100.305,,,,,
3625,01.24.18 klo 07.00.00 ip.,99.737,4.311,100.304,,,,,
3626,01.24.18 klo 07.10.00 ip.,99.734,4.207,100.303,,,,,
3627,01.24.18 klo 07.20.00 ip.,99.750,4.102,100.305,,,,,
3628,01.24.18 klo 07.30.00 ip.,99.754,3.893,100.305,,,,,
3629,01.24.18 klo 07.40.00 ip.,99.704,3.788,100.300,,,,,
3630,01.24.18 klo 07.50.00 ip.,99.710,3.683,100.301,,,,,
3631,01.24.18 klo 08.00.00 ip.,99.717,3.578,100.301,,,,,
3632,01.24.18 klo 08.10.00 ip.,99.714,3.472,100.301,,,,,
3633,01.24.18 klo 08.20.00 ip.,99.721,3.367,100.302,,,,,
3634,01.24.18 klo 08.30.00 ip.,99.702,3.367,100.300,,,,,
3635,01.24.18 klo 08.40.00 ip.,99.689,3.261,100.299,,,,,
3636,01.24.18 klo 08.50.00 ip.,99.705,3.155,100.300,,,,,
3637,01.24.18 klo 09.00.00 ip.,99.702,3.049,100.300,,,,,
3638,01.24.18 klo 09.10.00 ip.,99.702,3.049,100.300,,,,,
3639,01.24.18 klo 09.20.00 ip.,99.709,2.943,100.301,,,,,
3640,01.24.18 klo 09.30.00 ip.,99.706,2.837,100.300,,,,,
3641,01.24.18 klo 09.40.00 ip.,99.694,2.730,100.299,,,,,
3642,01.24.18 klo 09.50.00 ip.,99.710,2.624,100.301,,,,,
3643,01.24.18 klo 10.00.00 ip.,99.728,2.624,100.302,,,,,
3644,01.24.18 klo 10.10.00 ip.,99.707,2.517,100.300,,,,,
3645,01.24.18 klo 10.20.00 ip.,99.723,2.410,100.302,,,,,
3646,01.24.18 klo 10.30.00 ip.,99.710,2.303,100.301,,,,,
3647,01.24.18 klo 10.40.00 ip.,99.701,2.303,100.300,,,,,
3648,01.24.18 klo 10.50.00 ip.,99.698,2.195,100.299,,,,,
3649,01.24.18 klo 11.00.00 ip.,99.695,2.088,100.299,,,,,
3650,01.24.18 klo 11.10.00 ip.,99.685,2.088,100.298,,,,,
3651,01.24.18 klo 11.20.00 ip.,99.701,1.980,100.300,,,,,
3652,01.24.18 klo 11.30.00 ip.,99.692,1.980,100.299,,,,,
3653,01.24.18 klo 11.40.00 ip.,99.689,1.872,100.299,,,,,
3654,01.24.18 klo 11.50.00 ip.,99.667,1.764,100.296,,,,,
3655,01.25.18 klo 12.00.00 ap.,99.674,1.656,100.297,,,,,
3656,01.25.18 klo 12.10.00 ap.,99.674,1.656,100.297,,,,,
3657,01.25.18 klo 12.20.00 ap.,99.664,1.656,100.296,,,,,
3658,01.25.18 klo 12.30.00 ap.,99.683,1.656,100.298,,,,,
3659,01.25.18 klo 12.40.00 ap.,99.664,1.656,100.296,,,,,
3660,01.25.18 klo 12.50.00 ap.,99.671,1.548,100.297,,,,,
3661,01.25.18 klo 01.00.00 ap.,99.671,1.548,100.297,,,,,
3662,01.25.18 klo 01.10.00 ap.,99.671,1.548,100.297,,,,,
3663,01.25.18 klo 01.20.00 ap.,99.639,1.439,100.294,,,,,
3664,01.25.18 klo 01.30.00 ap.,99.639,1.439,100.294,,,,,
3665,01.25.18 klo 01.40.00 ap.,99.630,1.439,100.293,,,,,
3666,01.25.18 klo 01.50.00 ap.,99.627,1.330,100.292,,,,,
3667,01.25.18 klo 02.00.00 ap.,99.637,1.330,100.293,,,,,
3668,01.25.18 klo 02.10.00 ap.,99.627,1.330,100.292,,,,,
3669,01.25.18 klo 02.20.00 ap.,99.605,1.221,100.290,,,,,
3670,01.25.18 klo 02.30.00 ap.,99.596,1.221,100.289,,,,,
3671,01.25.18 klo 02.40.00 ap.,99.605,1.221,100.290,,,,,
3672,01.25.18 klo 02.50.00 ap.,99.574,1.112,100.287,,,,,
3673,01.25.18 klo 03.00.00 ap.,99.584,1.112,100.288,,,,,
3674,01.25.18 klo 03.10.00 ap.,99.571,1.003,100.287,,,,,
3675,01.25.18 klo 03.20.00 ap.,99.552,1.003,100.285,,,,,
3676,01.25.18 klo 03.30.00 ap.,99.552,1.003,100.285,,,,,
3677,01.25.18 klo 03.40.00 ap.,99.533,1.003,100.283,,,,,
3678,01.25.18 klo 03.50.00 ap.,99.543,1.003,100.284,,,,,
3679,01.25.18 klo 04.00.00 ap.,99.502,0.893,100.280,,,,,
3680,01.25.18 klo 04.10.00 ap.,99.515,1.003,100.281,,,,,
3681,01.25.18 klo 04.20.00 ap.,99.486,1.003,100.278,,,,,
3682,01.25.18 klo 04.30.00 ap.,99.477,1.003,100.277,,,,,
3683,01.25.18 klo 04.40.00 ap.,99.458,1.003,100.275,,,,,
3684,01.25.18 klo 04.50.00 ap.,99.467,1.003,100.276,,,,,
3685,01.25.18 klo 05.00.00 ap.,99.449,1.003,100.274,,,,,
3686,01.25.18 klo 05.10.00 ap.,99.427,0.893,100.272,,,,,
3687,01.25.18 klo 05.20.00 ap.,99.427,0.893,100.272,,,,,
3688,01.25.18 klo 05.30.00 ap.,99.417,0.893,100.271,,,,,
3689,01.25.18 klo 05.40.00 ap.,99.399,0.893,100.269,,,,,
3690,01.25.18 klo 05.50.00 ap.,99.399,0.893,100.269,,,,,
3691,01.25.18 klo 06.00.00 ap.,99.389,0.893,100.268,,,,,
3692,01.25.18 klo 06.10.00 ap.,99.370,0.893,100.266,,,,,
3693,01.25.18 klo 06.20.00 ap.,99.373,1.003,100.267,,,,,
3694,01.25.18 klo 06.30.00 ap.,99.364,1.003,100.266,,,,,
3695,01.25.18 klo 06.40.00 ap.,99.376,1.112,100.267,,,,,
3696,01.25.18 klo 06.50.00 ap.,99.360,1.221,100.265,,,,,
3697,01.25.18 klo 07.00.00 ap.,99.363,1.330,100.265,,,,,
3698,01.25.18 klo 07.10.00 ap.,99.376,1.439,100.267,,,,,
3699,01.25.18 klo 07.20.00 ap.,99.376,1.439,100.267,,,,,
3700,01.25.18 klo 07.30.00 ap.,99.354,1.330,100.265,,,,,
3701,01.25.18 klo 07.40.00 ap.,99.363,1.330,100.265,,,,,
3702,01.25.18 klo 07.50.00 ap.,99.360,1.548,100.265,,,,,
3703,01.25.18 klo 08.00.00 ap.,99.353,1.656,100.264,,,,,
3704,01.25.18 klo 08.10.00 ap.,99.353,1.656,100.264,,,,,
3705,01.25.18 klo 08.20.00 ap.,99.344,1.656,100.263,,,,,
3706,01.25.18 klo 08.30.00 ap.,99.334,1.656,100.262,,,,,
3707,01.25.18 klo 08.40.00 ap.,99.337,1.764,100.263,,,,,
3708,01.25.18 klo 08.50.00 ap.,99.347,1.764,100.264,,,,,
3709,01.25.18 klo 09.00.00 ap.,99.340,1.872,100.263,,,,,
3710,01.25.18 klo 09.10.00 ap.,99.343,1.980,100.263,,,,,
3711,01.25.18 klo 09.20.00 ap.,99.334,1.980,100.262,,,,,
3712,01.25.18 klo 09.30.00 ap.,99.337,2.088,100.263,,,,,
3713,01.25.18 klo 09.40.00 ap.,99.340,2.195,100.263,,,,,
3714,01.25.18 klo 09.50.00 ap.,99.333,2.303,100.262,,,,,
3715,01.25.18 klo 10.00.00 ap.,99.317,2.410,100.261,,,,,
3716,01.25.18 klo 10.10.00 ap.,99.311,2.517,100.260,,,,,
3717,01.25.18 klo 10.20.00 ap.,99.295,2.624,100.258,,,,,
3718,01.25.18 klo 10.30.00 ap.,99.295,2.624,100.258,,,,,
3719,01.25.18 klo 10.40.00 ap.,99.304,2.624,100.259,,,,,
3720,01.25.18 klo 10.50.00 ap.,99.298,2.730,100.259,,,,,
3721,01.25.18 klo 11.00.00 ap.,99.282,2.837,100.257,,,,,
3722,01.25.18 klo 11.10.00 ap.,99.275,2.943,100.256,,,,,
3723,01.25.18 klo 11.20.00 ap.,99.269,3.049,100.256,,,,,
3724,01.25.18 klo 11.30.00 ap.,99.262,3.155,100.255,,,,,
3725,01.25.18 klo 11.40.00 ap.,99.265,3.261,100.255,,,,,
3726,01.25.18 klo 11.50.00 ap.,99.230,3.367,100.252,,,,,
3727,01.25.18 klo 12.00.00 ip.,99.221,3.367,100.251,,,,,
3728,01.25.18 klo 12.10.00 ip.,99.214,3.472,100.250,,,,,
3729,01.25.18 klo 12.20.00 ip.,99.217,3.578,100.250,,,,,
3730,01.25.18 klo 12.30.00 ip.,99.211,3.683,100.250,,,,,
3731,01.25.18 klo 12.40.00 ip.,99.204,3.788,100.249,,,,,
3732,01.25.18 klo 12.50.00 ip.,99.188,3.893,100.247,,,,,
3733,01.25.18 klo 01.00.00 ip.,99.182,3.998,100.247,,,,,
3734,01.25.18 klo 01.10.00 ip.,99.194,4.102,100.248,,,,,
3735,01.25.18 klo 01.20.00 ip.,99.175,4.102,100.246,,,,,
3736,01.25.18 klo 01.30.00 ip.,99.137,4.102,100.242,,,,,
3737,01.25.18 klo 01.40.00 ip.,99.131,4.207,100.242,,,,,
3738,01.25.18 klo 01.50.00 ip.,99.137,4.415,100.242,,,,,
3739,01.25.18 klo 02.00.00 ip.,99.133,4.623,100.242,,,,,
3740,01.25.18 klo 02.10.00 ip.,99.120,4.831,100.241,,,,,
3741,01.25.18 klo 02.20.00 ip.,99.135,5.037,100.242,,,,,
3742,01.25.18 klo 02.30.00 ip.,99.113,5.244,100.240,,,,,
3743,01.25.18 klo 02.40.00 ip.,99.109,5.450,100.240,,,,,
3744,01.25.18 klo 02.50.00 ip.,99.118,5.757,100.241,,,,,
3745,01.25.18 klo 03.00.00 ip.,99.104,5.962,100.240,,,,,
3746,01.25.18 klo 03.10.00 ip.,99.113,6.268,100.241,,,,,
3747,01.25.18 klo 03.20.00 ip.,99.091,6.471,100.238,,,,,
3748,01.25.18 klo 03.30.00 ip.,99.084,6.573,100.238,,,,,
3749,01.25.18 klo 03.40.00 ip.,99.068,6.674,100.236,,,,,
3750,01.25.18 klo 03.50.00 ip.,99.068,6.674,100.236,,,,,
3751,01.25.18 klo 04.00.00 ip.,99.056,6.573,100.235,,,,,
3752,01.25.18 klo 04.10.00 ip.,99.043,6.471,100.234,,,,,
3753,01.25.18 klo 04.20.00 ip.,99.015,6.471,100.231,,,,,
3754,01.25.18 klo 04.30.00 ip.,99.024,6.471,100.232,,,,,
3755,01.25.18 klo 04.40.00 ip.,99.006,6.471,100.230,,,,,
3756,01.25.18 klo 04.50.00 ip.,98.996,6.471,100.229,,,,,
3757,01.25.18 klo 05.00.00 ip.,98.977,6.471,100.227,,,,,
3758,01.25.18 klo 05.10.00 ip.,98.980,6.573,100.227,,,,,
3759,01.25.18 klo 05.20.00 ip.,98.961,6.573,100.225,,,,,
3760,01.25.18 klo 05.30.00 ip.,98.961,6.573,100.225,,,,,
3761,01.25.18 klo 05.40.00 ip.,98.942,6.573,100.223,,,,,
3762,01.25.18 klo 05.50.00 ip.,98.952,6.573,100.224,,,,,
3763,01.25.18 klo 06.00.00 ip.,98.940,6.471,100.223,,,,,
3764,01.25.18 klo 06.10.00 ip.,98.927,6.370,100.222,,,,,
3765,01.25.18 klo 06.20.00 ip.,98.918,6.370,100.221,,,,,
3766,01.25.18 klo 06.30.00 ip.,98.911,6.471,100.220,,,,,
3767,01.25.18 klo 06.40.00 ip.,98.911,6.471,100.220,,,,,
3768,01.25.18 klo 06.50.00 ip.,98.911,6.471,100.220,,,,,
