"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
174,12.31.17 klo 07.50.00 ip.,99.582,1.764,100.288,,,,,
175,12.31.17 klo 08.00.00 ip.,99.573,1.764,100.287,,,,,
176,12.31.17 klo 08.10.00 ip.,99.595,1.872,100.289,,,,,
177,12.31.17 klo 08.20.00 ip.,99.548,1.872,100.284,,,,,
178,12.31.17 klo 08.30.00 ip.,99.557,1.872,100.285,,,,,
179,12.31.17 klo 08.40.00 ip.,99.557,1.872,100.285,,,,,
180,12.31.17 klo 08.50.00 ip.,99.557,1.872,100.285,,,,,
181,12.31.17 klo 09.00.00 ip.,99.557,1.872,100.285,,,,,
182,12.31.17 klo 09.10.00 ip.,99.545,1.764,100.284,,,,,
183,12.31.17 klo 09.20.00 ip.,99.554,1.764,100.285,,,,,
184,12.31.17 klo 09.30.00 ip.,99.563,1.764,100.286,,,,,
185,12.31.17 klo 09.40.00 ip.,99.545,1.764,100.284,,,,,
186,12.31.17 klo 09.50.00 ip.,99.545,1.764,100.284,,,,,
187,12.31.17 klo 10.00.00 ip.,99.542,1.656,100.284,,,,,
188,12.31.17 klo 10.10.00 ip.,99.548,1.548,100.284,,,,,
189,12.31.17 klo 10.20.00 ip.,99.539,1.548,100.283,,,,,
190,12.31.17 klo 10.30.00 ip.,99.548,1.548,100.284,,,,,
191,12.31.17 klo 10.40.00 ip.,99.548,1.548,100.284,,,,,
192,12.31.17 klo 10.50.00 ip.,99.555,1.439,100.285,,,,,
193,12.31.17 klo 11.00.00 ip.,99.536,1.439,100.283,,,,,
194,12.31.17 klo 11.10.00 ip.,99.542,1.330,100.284,,,,,
195,12.31.17 klo 11.20.00 ip.,99.523,1.330,100.282,,,,,
196,12.31.17 klo 11.30.00 ip.,99.523,1.330,100.282,,,,,
197,12.31.17 klo 11.40.00 ip.,99.539,1.221,100.283,,,,,
198,12.31.17 klo 11.50.00 ip.,99.549,1.221,100.284,,,,,
199,01.01.18 klo 12.00.00 ap.,99.546,1.112,100.284,,,,,
200,01.01.18 klo 12.10.00 ap.,99.543,1.003,100.284,,,,,
201,01.01.18 klo 12.20.00 ap.,99.552,1.003,100.285,,,,,
202,01.01.18 klo 12.30.00 ap.,99.549,0.893,100.285,,,,,
203,01.01.18 klo 12.40.00 ap.,99.559,0.893,100.286,,,,,
204,01.01.18 klo 12.50.00 ap.,99.549,0.893,100.285,,,,,
205,01.01.18 klo 01.00.00 ap.,99.549,0.893,100.285,,,,,
206,01.01.18 klo 01.10.00 ap.,99.565,0.784,100.286,,,,,
207,01.01.18 klo 01.20.00 ap.,99.575,0.784,100.287,,,,,
208,01.01.18 klo 01.30.00 ap.,99.575,0.784,100.287,,,,,
209,01.01.18 klo 01.40.00 ap.,99.575,0.784,100.287,,,,,
210,01.01.18 klo 01.50.00 ap.,99.562,0.674,100.286,,,,,
211,01.01.18 klo 02.00.00 ap.,99.591,0.674,100.289,,,,,
212,01.01.18 klo 02.10.00 ap.,99.578,0.563,100.288,,,,,
213,01.01.18 klo 02.20.00 ap.,99.588,0.563,100.289,,,,,
214,01.01.18 klo 02.30.00 ap.,99.597,0.563,100.290,,,,,
215,01.01.18 klo 02.40.00 ap.,99.588,0.563,100.289,,,,,
216,01.01.18 klo 02.50.00 ap.,99.578,0.563,100.288,,,,,
217,01.01.18 klo 03.00.00 ap.,99.559,0.563,100.286,,,,,
