"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
5062,03.22.20 klo 08.30.00 ap.,96.220,18.806,,,,,
5063,03.22.20 klo 09.00.00 ap.,96.272,18.616,,,,,
5064,03.22.20 klo 09.30.00 ap.,96.320,18.331,,,,,
5065,03.22.20 klo 10.00.00 ap.,96.336,18.236,,,,,
5066,03.22.20 klo 10.30.00 ap.,96.348,18.045,,,,,
5067,03.22.20 klo 11.00.00 ap.,96.387,18.045,,,,,
5068,03.22.20 klo 11.30.00 ap.,96.393,17.950,,,,,
5069,03.22.20 klo 12.00.00 ip.,96.435,17.760,,,,,
5070,03.22.20 klo 12.30.00 ip.,96.451,17.665,,,,,
5071,03.22.20 klo 01.00.00 ip.,96.490,17.665,,,,,
5072,03.22.20 klo 01.30.00 ip.,96.500,17.665,,,,,
5073,03.22.20 klo 02.00.00 ip.,96.514,17.760,,,,,
5074,03.22.20 klo 02.30.00 ip.,96.550,17.950,,,,,
5075,03.22.20 klo 03.00.00 ip.,96.584,18.045,,,,,
5076,03.22.20 klo 03.30.00 ip.,96.623,18.045,,,,,
5077,03.22.20 klo 04.00.00 ip.,96.646,18.140,,,,,
5078,03.22.20 klo 04.30.00 ip.,96.716,18.426,,,,,
5079,03.22.20 klo 05.00.00 ip.,96.735,18.901,,,,,
5080,03.22.20 klo 05.30.00 ip.,96.766,19.187,,,,,
5081,03.22.20 klo 06.00.00 ip.,96.781,19.567,,,,,
5082,03.22.20 klo 06.30.00 ip.,96.815,19.948,,,,,
5083,03.22.20 klo 07.00.00 ip.,96.803,20.138,,,,,
5084,03.22.20 klo 07.30.00 ip.,96.840,20.329,,,,,
5085,03.22.20 klo 08.00.00 ip.,96.883,20.424,,,,,
5086,03.22.20 klo 08.30.00 ip.,96.920,20.615,,,,,
5087,03.22.20 klo 09.00.00 ip.,96.938,20.805,,,,,
5088,03.22.20 klo 09.30.00 ip.,96.981,20.901,,,,,
5089,03.22.20 klo 10.00.00 ip.,96.988,21.091,,,,,
5090,03.22.20 klo 10.30.00 ip.,97.012,21.187,,,,,
5091,03.22.20 klo 11.00.00 ip.,97.041,21.187,,,,,
5092,03.22.20 klo 11.30.00 ip.,97.041,21.187,,,,,
5093,03.23.20 klo 12.00.00 ap.,97.045,21.282,,,,,
5094,03.23.20 klo 12.30.00 ap.,97.064,21.282,,,,,
5095,03.23.20 klo 01.00.00 ap.,97.088,21.378,,,,,
5096,03.23.20 klo 01.30.00 ap.,97.078,21.378,,,,,
5097,03.23.20 klo 02.00.00 ap.,97.088,21.378,,,,,
5098,03.23.20 klo 02.30.00 ap.,97.088,21.378,,,,,
5099,03.23.20 klo 03.00.00 ap.,97.078,21.378,,,,,
5100,03.23.20 klo 03.30.00 ap.,97.078,21.378,,,,,
5101,03.23.20 klo 04.00.00 ap.,97.049,21.378,,,,,
5102,03.23.20 klo 04.30.00 ap.,97.041,21.187,,,,,
5103,03.23.20 klo 05.00.00 ap.,97.093,20.996,,,,,
5104,03.23.20 klo 05.30.00 ap.,97.136,21.091,,,,,
5105,03.23.20 klo 06.00.00 ap.,97.116,21.091,,,,,
5106,03.23.20 klo 06.30.00 ap.,97.116,21.091,,,,,
5107,03.23.20 klo 07.00.00 ap.,97.120,21.187,,,,,
5108,03.23.20 klo 07.30.00 ap.,97.077,21.091,,,,,
5109,03.23.20 klo 08.00.00 ap.,97.099,20.901,,,,,
5110,03.23.20 klo 08.30.00 ap.,97.099,20.901,,,,,
5111,03.23.20 klo 09.00.00 ap.,97.072,20.234,,,,,
5112,03.23.20 klo 09.30.00 ap.,96.999,19.853,,,,,
5113,03.23.20 klo 10.00.00 ap.,96.977,19.567,,,,,
5114,03.23.20 klo 10.30.00 ap.,96.958,19.567,,,,,
5115,03.23.20 klo 11.00.00 ap.,96.890,19.853,,,,,
5116,03.23.20 klo 11.30.00 ap.,96.873,19.662,,,,,
5117,03.23.20 klo 12.00.00 ip.,96.803,19.377,,,,,
5118,03.23.20 klo 12.30.00 ip.,96.736,19.187,,,,,
5119,03.23.20 klo 01.00.00 ip.,96.736,19.187,,,,,
5120,03.23.20 klo 01.30.00 ip.,96.650,18.996,,,,,
5121,03.23.20 klo 02.00.00 ip.,96.601,18.996,,,,,
5122,03.23.20 klo 02.30.00 ip.,96.566,19.092,,,,,
5123,03.23.20 klo 03.00.00 ip.,96.558,18.901,,,,,
5124,03.23.20 klo 03.30.00 ip.,96.495,18.806,,,,,
5125,03.23.20 klo 04.00.00 ip.,96.445,18.521,,,,,
5126,03.23.20 klo 04.30.00 ip.,96.408,18.331,,,,,
5127,03.23.20 klo 05.00.00 ip.,96.359,18.331,,,,,
5128,03.23.20 klo 05.30.00 ip.,96.243,18.140,,,,,
5129,03.23.20 klo 06.00.00 ip.,96.171,18.045,,,,,
5130,03.23.20 klo 06.30.00 ip.,96.138,17.950,,,,,
5131,03.23.20 klo 07.00.00 ip.,96.144,17.855,,,,,
5132,03.23.20 klo 07.30.00 ip.,96.107,17.665,,,,,
5133,03.23.20 klo 08.00.00 ip.,96.005,17.570,,,,,
5134,03.23.20 klo 08.30.00 ip.,95.911,17.665,,,,,
5135,03.23.20 klo 09.00.00 ip.,95.817,18.045,,,,,
5136,03.23.20 klo 09.30.00 ip.,95.770,18.331,,,,,
5137,03.23.20 klo 10.00.00 ip.,95.685,18.426,,,,,
5138,03.23.20 klo 10.30.00 ip.,95.600,18.521,,,,,
5139,03.23.20 klo 11.00.00 ip.,95.515,18.616,,,,,
5140,03.23.20 klo 11.30.00 ip.,95.440,18.711,,,,,
5141,03.24.20 klo 12.00.00 ap.,95.382,18.711,,,,,
5142,03.24.20 klo 12.30.00 ap.,95.329,18.616,,,,,
5143,03.24.20 klo 01.00.00 ap.,95.240,18.616,,,,,
5144,03.24.20 klo 01.30.00 ap.,95.197,18.521,,,,,
5145,03.24.20 klo 02.00.00 ap.,95.145,18.426,,,,,
5146,03.24.20 klo 02.30.00 ap.,95.072,18.331,,,,,
5147,03.24.20 klo 03.00.00 ap.,95.010,18.236,,,,,
5148,03.24.20 klo 03.30.00 ap.,95.032,18.045,,,,,
5149,03.24.20 klo 04.00.00 ap.,94.881,17.950,,,,,
5150,03.24.20 klo 04.30.00 ap.,94.844,17.760,,,,,
5151,03.24.20 klo 05.00.00 ap.,94.778,17.570,,,,,
5152,03.24.20 klo 05.30.00 ap.,94.755,17.475,,,,,
5153,03.24.20 klo 06.00.00 ap.,94.741,17.379,,,,,
5154,03.24.20 klo 06.30.00 ap.,94.663,17.379,,,,,
5155,03.24.20 klo 07.00.00 ap.,94.630,17.284,,,,,
5156,03.24.20 klo 07.30.00 ap.,94.587,17.189,,,,,
5157,03.24.20 klo 08.00.00 ap.,94.579,16.999,,,,,
5158,03.24.20 klo 08.30.00 ap.,94.496,16.618,,,,,
5159,03.24.20 klo 09.00.00 ap.,94.479,16.427,,,,,
5160,03.24.20 klo 09.30.00 ap.,94.508,16.427,,,,,
5161,03.24.20 klo 10.00.00 ap.,94.483,16.523,,,,,
5162,03.24.20 klo 10.30.00 ap.,94.461,16.713,,,,,
5163,03.24.20 klo 11.00.00 ap.,94.453,16.523,,,,,
5164,03.24.20 klo 11.30.00 ap.,94.423,16.237,,,,,
5165,03.24.20 klo 12.00.00 ip.,94.426,16.332,,,,,
5166,03.24.20 klo 12.30.00 ip.,94.378,16.618,,,,,
5167,03.24.20 klo 01.00.00 ip.,94.398,16.618,,,,,
5168,03.24.20 klo 01.30.00 ip.,94.414,16.523,,,,,
5169,03.24.20 klo 02.00.00 ip.,94.430,16.427,,,,,
5170,03.24.20 klo 02.30.00 ip.,94.416,16.332,,,,,
5171,03.24.20 klo 03.00.00 ip.,94.453,16.523,,,,,
5172,03.24.20 klo 03.30.00 ip.,94.427,16.618,,,,,
5173,03.24.20 klo 04.00.00 ip.,94.349,16.618,,,,,
5174,03.24.20 klo 04.30.00 ip.,94.378,16.618,,,,,
5175,03.24.20 klo 05.00.00 ip.,94.378,16.618,,,,,
5176,03.24.20 klo 05.30.00 ip.,94.375,16.523,,,,,
5177,03.24.20 klo 06.00.00 ip.,94.483,16.523,,,,,
5178,03.24.20 klo 06.30.00 ip.,94.627,16.713,,,,,
5179,03.24.20 klo 07.00.00 ip.,94.711,17.094,,,,,
5180,03.24.20 klo 07.30.00 ip.,94.794,17.475,,,,,
5181,03.24.20 klo 08.00.00 ip.,94.844,17.760,,,,,
5182,03.24.20 klo 08.30.00 ip.,94.887,17.855,,,,,
5183,03.24.20 klo 09.00.00 ip.,94.904,18.045,,,,,
5184,03.24.20 klo 09.30.00 ip.,94.947,18.140,,,,,
5185,03.24.20 klo 10.00.00 ip.,94.984,18.331,,,,,
5186,03.24.20 klo 10.30.00 ip.,95.017,18.426,,,,,
5187,03.24.20 klo 11.00.00 ip.,95.050,18.521,,,,,
5188,03.24.20 klo 11.30.00 ip.,95.113,18.616,,,,,
5189,03.25.20 klo 12.00.00 ap.,95.087,18.711,,,,,
5190,03.25.20 klo 12.30.00 ap.,95.091,18.806,,,,,
5191,03.25.20 klo 01.00.00 ap.,95.107,18.711,,,,,
5192,03.25.20 klo 01.30.00 ap.,95.100,18.806,,,,,
5193,03.25.20 klo 02.00.00 ap.,95.130,18.806,,,,,
5194,03.25.20 klo 02.30.00 ap.,95.130,18.806,,,,,
5195,03.25.20 klo 03.00.00 ap.,95.140,18.806,,,,,
5196,03.25.20 klo 03.30.00 ap.,95.130,18.806,,,,,
5197,03.25.20 klo 04.00.00 ap.,95.150,18.806,,,,,
5198,03.25.20 klo 04.30.00 ap.,95.208,18.806,,,,,
5199,03.25.20 klo 05.00.00 ap.,95.189,18.806,,,,,
5200,03.25.20 klo 05.30.00 ap.,95.208,18.806,,,,,
5201,03.25.20 klo 06.00.00 ap.,95.199,18.806,,,,,
5202,03.25.20 klo 06.30.00 ap.,95.199,18.806,,,,,
5203,03.25.20 klo 07.00.00 ap.,95.199,18.806,,,,,
5204,03.25.20 klo 07.30.00 ap.,95.205,18.711,,,,,
5205,03.25.20 klo 08.00.00 ap.,95.264,18.711,,,,,
5206,03.25.20 klo 08.30.00 ap.,95.201,18.616,,,,,
5207,03.25.20 klo 09.00.00 ap.,95.244,18.711,,,,,
5208,03.25.20 klo 09.30.00 ap.,95.244,18.711,,,,,
5209,03.25.20 klo 10.00.00 ap.,95.233,18.426,,,,,
5210,03.25.20 klo 10.30.00 ap.,95.297,18.045,,,,,
5211,03.25.20 klo 11.00.00 ap.,95.358,17.855,,,,,
5212,03.25.20 klo 11.30.00 ap.,95.368,17.855,,,,,
5213,03.25.20 klo 12.00.00 ip.,95.374,17.760,,,,,
5214,03.25.20 klo 12.30.00 ip.,95.417,17.855,,,,,
5215,03.25.20 klo 01.00.00 ip.,95.431,17.950,,,,,
5216,03.25.20 klo 01.30.00 ip.,95.523,18.045,,,,,
5217,03.25.20 klo 02.00.00 ip.,95.572,18.045,,,,,
5218,03.25.20 klo 02.30.00 ip.,95.609,18.236,,,,,
5219,03.25.20 klo 03.00.00 ip.,95.620,18.521,,,,,
5220,03.25.20 klo 03.30.00 ip.,95.657,18.711,,,,,
5221,03.25.20 klo 04.00.00 ip.,95.674,18.901,,,,,
5222,03.25.20 klo 04.30.00 ip.,95.681,19.092,,,,,
5223,03.25.20 klo 05.00.00 ip.,95.704,19.187,,,,,
5224,03.25.20 klo 05.30.00 ip.,95.707,18.996,,,,,
5225,03.25.20 klo 06.00.00 ip.,95.723,18.901,,,,,
5226,03.25.20 klo 06.30.00 ip.,95.717,18.996,,,,,
5227,03.25.20 klo 07.00.00 ip.,95.708,19.282,,,,,
5228,03.25.20 klo 07.30.00 ip.,95.722,19.377,,,,,
5229,03.25.20 klo 08.00.00 ip.,95.749,19.567,,,,,
5230,03.25.20 klo 08.30.00 ip.,95.743,19.662,,,,,
5231,03.25.20 klo 09.00.00 ip.,95.779,19.853,,,,,
5232,03.25.20 klo 09.30.00 ip.,95.803,19.948,,,,,
5233,03.25.20 klo 10.00.00 ip.,95.797,20.043,,,,,
5234,03.25.20 klo 10.30.00 ip.,95.807,20.043,,,,,
5235,03.25.20 klo 11.00.00 ip.,95.783,19.948,,,,,
5236,03.25.20 klo 11.30.00 ip.,95.751,20.138,,,,,
5237,03.26.20 klo 12.00.00 ap.,95.765,20.234,,,,,
5238,03.26.20 klo 12.30.00 ap.,95.798,20.329,,,,,
5239,03.26.20 klo 01.00.00 ap.,95.792,20.424,,,,,
5240,03.26.20 klo 01.30.00 ap.,95.737,20.519,,,,,
5241,03.26.20 klo 02.00.00 ap.,95.737,20.519,,,,,
5242,03.26.20 klo 02.30.00 ap.,95.721,20.615,,,,,
5243,03.26.20 klo 03.00.00 ap.,95.675,20.710,,,,,
5244,03.26.20 klo 03.30.00 ap.,95.665,20.710,,,,,
5245,03.26.20 klo 04.00.00 ap.,95.636,20.710,,,,,
5246,03.26.20 klo 04.30.00 ap.,95.577,20.710,,,,,
5247,03.26.20 klo 05.00.00 ap.,95.567,20.710,,,,,
5248,03.26.20 klo 05.30.00 ap.,95.541,20.805,,,,,
5249,03.26.20 klo 06.00.00 ap.,95.531,20.805,,,,,
5250,03.26.20 klo 06.30.00 ap.,95.502,20.805,,,,,
5251,03.26.20 klo 07.00.00 ap.,95.414,20.805,,,,,
5252,03.26.20 klo 07.30.00 ap.,95.463,20.805,,,,,
5253,03.26.20 klo 08.00.00 ap.,95.407,20.901,,,,,
5254,03.26.20 klo 08.30.00 ap.,95.407,20.901,,,,,
5255,03.26.20 klo 09.00.00 ap.,95.358,20.901,,,,,
5256,03.26.20 klo 09.30.00 ap.,95.323,20.996,,,,,
5257,03.26.20 klo 10.00.00 ap.,95.332,20.996,,,,,
5258,03.26.20 klo 10.30.00 ap.,95.289,20.901,,,,,
5259,03.26.20 klo 11.00.00 ap.,95.251,20.424,,,,,
5260,03.26.20 klo 11.30.00 ap.,95.201,20.138,,,,,
5261,03.26.20 klo 12.00.00 ip.,95.145,19.948,,,,,
5262,03.26.20 klo 12.30.00 ip.,95.070,20.043,,,,,
5263,03.26.20 klo 01.00.00 ip.,95.012,20.329,,,,,
5264,03.26.20 klo 01.30.00 ip.,95.022,20.329,,,,,
5265,03.26.20 klo 02.00.00 ip.,94.995,20.138,,,,,
5266,03.26.20 klo 02.30.00 ip.,94.984,19.853,,,,,
5267,03.26.20 klo 03.00.00 ip.,95.006,19.662,,,,,
5268,03.26.20 klo 03.30.00 ip.,95.014,19.377,,,,,
5269,03.26.20 klo 04.00.00 ip.,95.027,19.187,,,,,
5270,03.26.20 klo 04.30.00 ip.,95.060,19.282,,,,,
5271,03.26.20 klo 05.00.00 ip.,95.107,19.472,,,,,
5272,03.26.20 klo 05.30.00 ip.,95.103,19.377,,,,,
5273,03.26.20 klo 06.00.00 ip.,95.070,19.282,,,,,
5274,03.26.20 klo 06.30.00 ip.,95.050,19.282,,,,,
5275,03.26.20 klo 07.00.00 ip.,95.046,19.187,,,,,
5276,03.26.20 klo 07.30.00 ip.,95.007,19.187,,,,,
5277,03.26.20 klo 08.00.00 ip.,95.001,19.282,,,,,
5278,03.26.20 klo 08.30.00 ip.,95.025,19.662,,,,,
5279,03.26.20 klo 09.00.00 ip.,95.062,19.853,,,,,
5280,03.26.20 klo 09.30.00 ip.,95.050,20.043,,,,,
5281,03.26.20 klo 10.00.00 ip.,95.051,20.329,,,,,
5282,03.26.20 klo 10.30.00 ip.,95.009,20.519,,,,,
5283,03.26.20 klo 11.00.00 ip.,94.987,20.710,,,,,
5284,03.26.20 klo 11.30.00 ip.,94.971,20.805,,,,,
5285,03.27.20 klo 12.00.00 ap.,94.916,20.901,,,,,
5286,03.27.20 klo 12.30.00 ap.,94.930,20.996,,,,,
5287,03.27.20 klo 01.00.00 ap.,94.881,20.996,,,,,
5288,03.27.20 klo 01.30.00 ap.,94.881,20.996,,,,,
5289,03.27.20 klo 02.00.00 ap.,94.874,21.091,,,,,
5290,03.27.20 klo 02.30.00 ap.,94.831,20.996,,,,,
5291,03.27.20 klo 03.00.00 ap.,94.772,20.996,,,,,
5292,03.27.20 klo 03.30.00 ap.,94.753,20.996,,,,,
5293,03.27.20 klo 04.00.00 ap.,94.772,20.996,,,,,
5294,03.27.20 klo 04.30.00 ap.,94.720,20.901,,,,,
5295,03.27.20 klo 05.00.00 ap.,94.775,20.805,,,,,
5296,03.27.20 klo 05.30.00 ap.,94.834,20.805,,,,,
5297,03.27.20 klo 06.00.00 ap.,94.820,20.710,,,,,
5298,03.27.20 klo 06.30.00 ap.,94.869,20.710,,,,,
5299,03.27.20 klo 07.00.00 ap.,94.925,20.615,,,,,
5300,03.27.20 klo 07.30.00 ap.,94.911,20.519,,,,,
5301,03.27.20 klo 08.00.00 ap.,94.982,20.329,,,,,
5302,03.27.20 klo 08.30.00 ap.,95.024,20.138,,,,,
5303,03.27.20 klo 09.00.00 ap.,95.001,20.043,,,,,
5304,03.27.20 klo 09.30.00 ap.,95.027,19.948,,,,,
5305,03.27.20 klo 10.00.00 ap.,95.066,19.948,,,,,
5306,03.27.20 klo 10.30.00 ap.,95.056,19.948,,,,,
5307,03.27.20 klo 11.00.00 ap.,95.017,19.948,,,,,
5308,03.27.20 klo 11.30.00 ap.,95.037,19.948,,,,,
5309,03.27.20 klo 12.00.00 ip.,95.021,20.043,,,,,
5310,03.27.20 klo 12.30.00 ip.,95.050,20.043,,,,,
5311,03.27.20 klo 01.00.00 ip.,95.037,19.948,,,,,
5312,03.27.20 klo 01.30.00 ip.,95.032,19.567,,,,,
5313,03.27.20 klo 02.00.00 ip.,95.070,19.282,,,,,
5314,03.27.20 klo 02.30.00 ip.,95.080,19.282,,,,,
5315,03.27.20 klo 03.00.00 ip.,95.107,19.472,,,,,
5316,03.27.20 klo 03.30.00 ip.,95.113,19.377,,,,,
5317,03.27.20 klo 04.00.00 ip.,95.115,19.187,,,,,
5318,03.27.20 klo 04.30.00 ip.,95.088,18.996,,,,,
5319,03.27.20 klo 05.00.00 ip.,95.065,18.901,,,,,
5320,03.27.20 klo 05.30.00 ip.,95.026,18.901,,,,,
5321,03.27.20 klo 06.00.00 ip.,94.992,18.806,,,,,
5322,03.27.20 klo 06.30.00 ip.,94.976,18.901,,,,,
5323,03.27.20 klo 07.00.00 ip.,94.899,19.187,,,,,
5324,03.27.20 klo 07.30.00 ip.,94.867,19.377,,,,,
5325,03.27.20 klo 08.00.00 ip.,94.806,19.567,,,,,
5326,03.27.20 klo 08.30.00 ip.,94.760,19.662,,,,,
5327,03.27.20 klo 09.00.00 ip.,94.735,19.758,,,,,
5328,03.27.20 klo 09.30.00 ip.,94.735,19.758,,,,,
5329,03.27.20 klo 10.00.00 ip.,94.747,19.567,,,,,
5330,03.27.20 klo 10.30.00 ip.,94.747,19.567,,,,,
5331,03.27.20 klo 11.00.00 ip.,94.724,19.472,,,,,
5332,03.27.20 klo 11.30.00 ip.,94.662,19.662,,,,,
5333,03.28.20 klo 12.00.00 ap.,94.627,19.758,,,,,
5334,03.28.20 klo 12.30.00 ap.,94.585,19.948,,,,,
5335,03.28.20 klo 01.00.00 ap.,94.539,20.043,,,,,
5336,03.28.20 klo 01.30.00 ap.,94.504,20.138,,,,,
5337,03.28.20 klo 02.00.00 ap.,94.498,20.234,,,,,
5338,03.28.20 klo 02.30.00 ap.,94.517,20.234,,,,,
5339,03.28.20 klo 03.00.00 ap.,94.501,20.329,,,,,
5340,03.28.20 klo 03.30.00 ap.,94.521,20.329,,,,,
5341,03.28.20 klo 04.00.00 ap.,94.501,20.329,,,,,
5342,03.28.20 klo 04.30.00 ap.,94.534,20.424,,,,,
5343,03.28.20 klo 05.00.00 ap.,94.564,20.424,,,,,
5344,03.28.20 klo 05.30.00 ap.,94.558,20.519,,,,,
5345,03.28.20 klo 06.00.00 ap.,94.564,20.424,,,,,
5346,03.28.20 klo 06.30.00 ap.,94.588,20.043,,,,,
5347,03.28.20 klo 07.00.00 ap.,94.695,19.758,,,,,
5348,03.28.20 klo 07.30.00 ap.,94.708,19.567,,,,,
5349,03.28.20 klo 08.00.00 ap.,94.727,19.567,,,,,
5350,03.28.20 klo 08.30.00 ap.,94.747,19.567,,,,,
5351,03.28.20 klo 09.00.00 ap.,94.796,19.567,,,,,
5352,03.28.20 klo 09.30.00 ap.,94.829,19.662,,,,,
5353,03.28.20 klo 10.00.00 ap.,94.829,19.662,,,,,
5354,03.28.20 klo 10.30.00 ap.,94.882,19.758,,,,,
5355,03.28.20 klo 11.00.00 ap.,94.905,19.853,,,,,
5356,03.28.20 klo 11.30.00 ap.,94.919,19.948,,,,,
5357,03.28.20 klo 12.00.00 ip.,94.955,20.138,,,,,
5358,03.28.20 klo 12.30.00 ip.,94.957,20.424,,,,,
5359,03.28.20 klo 01.00.00 ip.,94.957,20.424,,,,,
5360,03.28.20 klo 01.30.00 ip.,94.987,20.710,,,,,
5361,03.28.20 klo 02.00.00 ip.,95.005,20.901,,,,,
5362,03.28.20 klo 02.30.00 ip.,95.008,20.996,,,,,
5363,03.28.20 klo 03.00.00 ip.,95.083,20.901,,,,,
5364,03.28.20 klo 03.30.00 ip.,95.113,20.901,,,,,
5365,03.28.20 klo 04.00.00 ip.,95.116,20.996,,,,,
5366,03.28.20 klo 04.30.00 ip.,95.114,21.187,,,,,
5367,03.28.20 klo 05.00.00 ip.,95.151,21.378,,,,,
5368,03.28.20 klo 05.30.00 ip.,95.151,21.378,,,,,
5369,03.28.20 klo 06.00.00 ip.,95.188,21.569,,,,,
5370,03.28.20 klo 06.30.00 ip.,95.215,21.760,,,,,
5371,03.28.20 klo 07.00.00 ip.,95.248,21.855,,,,,
5372,03.28.20 klo 07.30.00 ip.,95.307,21.855,,,,,
5373,03.28.20 klo 08.00.00 ip.,95.329,21.664,,,,,
5374,03.28.20 klo 08.30.00 ip.,95.368,21.664,,,,,
5375,03.28.20 klo 09.00.00 ip.,95.421,21.760,,,,,
5376,03.28.20 klo 09.30.00 ip.,95.448,21.951,,,,,
5377,03.28.20 klo 10.00.00 ip.,95.491,22.046,,,,,
5378,03.28.20 klo 10.30.00 ip.,95.524,22.142,,,,,
5379,03.28.20 klo 11.00.00 ip.,95.534,22.142,,,,,
5380,03.28.20 klo 11.30.00 ip.,95.528,22.238,,,,,
5381,03.29.20 klo 12.00.00 ap.,95.620,22.333,,,,,
5382,03.29.20 klo 12.30.00 ap.,95.669,22.333,,,,,
5383,03.29.20 klo 01.00.00 ap.,95.719,22.333,,,,,
5384,03.29.20 klo 01.30.00 ap.,95.807,22.333,,,,,
5385,03.29.20 klo 02.00.00 ap.,95.902,22.238,,,,,
5386,03.29.20 klo 02.30.00 ap.,95.957,22.142,,,,,
5387,03.29.20 klo 03.00.00 ap.,96.059,22.238,,,,,
5388,03.29.20 klo 03.30.00 ap.,96.155,22.429,,,,,
5389,03.29.20 klo 04.00.00 ap.,96.224,22.429,,,,,
5390,03.29.20 klo 04.30.00 ap.,96.267,22.525,,,,,
5391,03.29.20 klo 05.00.00 ap.,96.316,22.525,,,,,
5392,03.29.20 klo 05.30.00 ap.,96.379,22.621,,,,,
5393,03.29.20 klo 06.00.00 ap.,96.464,22.525,,,,,
5394,03.29.20 klo 06.30.00 ap.,96.503,22.525,,,,,
5395,03.29.20 klo 07.00.00 ap.,96.546,22.621,,,,,
5396,03.29.20 klo 07.30.00 ap.,96.572,22.525,,,,,
5397,03.29.20 klo 08.00.00 ap.,96.578,22.429,,,,,
5398,03.29.20 klo 08.30.00 ap.,96.633,22.333,,,,,
5399,03.29.20 klo 09.00.00 ap.,96.685,22.142,,,,,
5400,03.29.20 klo 09.30.00 ap.,96.721,22.046,,,,,
5401,03.29.20 klo 10.00.00 ap.,96.792,21.855,,,,,
5402,03.29.20 klo 10.30.00 ap.,96.795,21.187,,,,,
5403,03.29.20 klo 11.00.00 ap.,96.796,20.710,,,,,
5404,03.29.20 klo 11.30.00 ap.,96.771,20.329,,,,,
5405,03.29.20 klo 12.00.00 ip.,96.768,20.234,,,,,
5406,03.29.20 klo 12.30.00 ip.,96.777,20.234,,,,,
5407,03.29.20 klo 01.00.00 ip.,96.779,20.519,,,,,
5408,03.29.20 klo 01.30.00 ip.,96.782,20.615,,,,,
5409,03.29.20 klo 02.00.00 ip.,96.828,20.519,,,,,
5410,03.29.20 klo 02.30.00 ip.,96.903,20.424,,,,,
5411,03.29.20 klo 03.00.00 ip.,97.005,20.519,,,,,
5412,03.29.20 klo 03.30.00 ip.,97.038,20.615,,,,,
5413,03.29.20 klo 04.00.00 ip.,97.080,20.424,,,,,
5414,03.29.20 klo 04.30.00 ip.,97.138,20.138,,,,,
5415,03.29.20 klo 05.00.00 ip.,97.179,19.948,,,,,
5416,03.29.20 klo 05.30.00 ip.,97.211,19.758,,,,,
5417,03.29.20 klo 06.00.00 ip.,97.247,19.662,,,,,
5418,03.29.20 klo 06.30.00 ip.,97.282,19.567,,,,,
5419,03.29.20 klo 07.00.00 ip.,97.296,19.662,,,,,
5420,03.29.20 klo 07.30.00 ip.,97.306,19.662,,,,,
5421,03.29.20 klo 08.00.00 ip.,97.332,19.567,,,,,
5422,03.29.20 klo 08.30.00 ip.,97.351,19.567,,,,,
5423,03.29.20 klo 09.00.00 ip.,97.292,19.567,,,,,
5424,03.29.20 klo 09.30.00 ip.,97.351,19.567,,,,,
5425,03.29.20 klo 10.00.00 ip.,97.362,19.853,,,,,
5426,03.29.20 klo 10.30.00 ip.,97.380,20.043,,,,,
5427,03.29.20 klo 11.00.00 ip.,97.348,20.234,,,,,
5428,03.29.20 klo 11.30.00 ip.,97.330,20.519,,,,,
5429,03.30.20 klo 12.00.00 ap.,97.308,20.710,,,,,
5430,03.30.20 klo 12.30.00 ap.,97.256,20.901,,,,,
5431,03.30.20 klo 01.00.00 ap.,97.246,20.901,,,,,
5432,03.30.20 klo 01.30.00 ap.,97.224,21.091,,,,,
5433,03.30.20 klo 02.00.00 ap.,97.185,21.091,,,,,
5434,03.30.20 klo 02.30.00 ap.,97.248,21.187,,,,,
5435,03.30.20 klo 03.00.00 ap.,97.248,21.187,,,,,
5436,03.30.20 klo 03.30.00 ap.,97.228,21.187,,,,,
5437,03.30.20 klo 04.00.00 ap.,97.183,21.282,,,,,
5438,03.30.20 klo 04.30.00 ap.,97.114,21.282,,,,,
5439,03.30.20 klo 05.00.00 ap.,97.071,21.187,,,,,
5440,03.30.20 klo 05.30.00 ap.,97.090,21.187,,,,,
5441,03.30.20 klo 06.00.00 ap.,97.067,21.091,,,,,
5442,03.30.20 klo 06.30.00 ap.,97.028,20.615,,,,,
5443,03.30.20 klo 07.00.00 ap.,96.988,20.329,,,,,
5444,03.30.20 klo 07.30.00 ap.,96.951,20.138,,,,,
5445,03.30.20 klo 08.00.00 ap.,96.884,19.948,,,,,
5446,03.30.20 klo 08.30.00 ap.,96.849,20.043,,,,,
5447,03.30.20 klo 09.00.00 ap.,96.793,20.138,,,,,
5448,03.30.20 klo 09.30.00 ap.,96.718,20.234,,,,,
5449,03.30.20 klo 10.00.00 ap.,96.689,20.234,,,,,
5450,03.30.20 klo 10.30.00 ap.,96.650,20.234,,,,,
5451,03.30.20 klo 11.00.00 ap.,96.600,20.234,,,,,
5452,03.30.20 klo 11.30.00 ap.,96.587,20.138,,,,,
5453,03.30.20 klo 12.00.00 ip.,96.583,20.043,,,,,
5454,03.30.20 klo 12.30.00 ip.,96.563,20.043,,,,,
