"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
167,12.11.19 klo 09.00.00 ap.,105.535,2.410,,,,,
168,12.11.19 klo 09.30.00 ap.,105.476,2.410,,,,,
169,12.11.19 klo 10.00.00 ap.,105.510,2.517,,,,,
170,12.11.19 klo 10.30.00 ap.,105.486,2.410,,,,,
171,12.11.19 klo 11.00.00 ap.,105.466,2.410,,,,,
172,12.11.19 klo 11.30.00 ap.,105.496,2.410,,,,,
173,12.11.19 klo 12.00.00 ip.,105.462,2.303,,,,,
174,12.11.19 klo 12.30.00 ip.,105.458,2.195,,,,,
175,12.11.19 klo 01.00.00 ip.,105.433,2.303,,,,,
176,12.11.19 klo 01.30.00 ip.,105.428,2.195,,,,,
177,12.11.19 klo 02.00.00 ip.,105.393,2.303,,,,,
178,12.11.19 klo 02.30.00 ip.,105.373,2.303,,,,,
179,12.11.19 klo 03.00.00 ip.,105.364,2.303,,,,,
180,12.11.19 klo 03.30.00 ip.,105.320,2.195,,,,,
181,12.11.19 klo 04.00.00 ip.,105.330,2.195,,,,,
182,12.11.19 klo 04.30.00 ip.,105.325,2.088,,,,,
183,12.11.19 klo 05.00.00 ip.,105.331,1.980,,,,,
184,12.11.19 klo 05.30.00 ip.,105.316,1.872,,,,,
185,12.11.19 klo 06.00.00 ip.,105.292,1.764,,,,,
186,12.11.19 klo 06.30.00 ip.,105.292,1.764,,,,,
187,12.11.19 klo 07.00.00 ip.,105.288,1.656,,,,,
188,12.11.19 klo 07.30.00 ip.,105.258,1.656,,,,,
189,12.11.19 klo 08.00.00 ip.,105.244,1.548,,,,,
190,12.11.19 klo 08.30.00 ip.,105.194,1.548,,,,,
191,12.11.19 klo 09.00.00 ip.,105.190,1.439,,,,,
192,12.11.19 klo 09.30.00 ip.,105.156,1.330,,,,,
193,12.11.19 klo 10.00.00 ip.,105.136,1.330,,,,,
194,12.11.19 klo 10.30.00 ip.,105.126,1.330,,,,,
195,12.11.19 klo 11.00.00 ip.,105.111,1.439,,,,,
196,12.11.19 klo 11.30.00 ip.,105.092,1.439,,,,,
197,12.12.19 klo 12.00.00 ap.,105.076,1.548,,,,,
198,12.12.19 klo 12.30.00 ap.,105.052,1.439,,,,,
199,12.12.19 klo 01.00.00 ap.,105.037,1.548,,,,,
200,12.12.19 klo 01.30.00 ap.,105.016,1.764,,,,,
201,12.12.19 klo 02.00.00 ap.,104.997,1.764,,,,,
202,12.12.19 klo 02.30.00 ap.,105.016,1.764,,,,,
203,12.12.19 klo 03.00.00 ap.,105.031,1.872,,,,,
204,12.12.19 klo 03.30.00 ap.,105.001,1.872,,,,,
205,12.12.19 klo 04.00.00 ap.,104.961,2.088,,,,,
206,12.12.19 klo 04.30.00 ap.,104.985,2.195,,,,,
207,12.12.19 klo 05.00.00 ap.,105.004,2.410,,,,,
208,12.12.19 klo 05.30.00 ap.,104.998,2.517,,,,,
209,12.12.19 klo 06.00.00 ap.,104.996,2.943,,,,,
210,12.12.19 klo 06.30.00 ap.,105.019,3.261,,,,,
211,12.12.19 klo 07.00.00 ap.,104.998,3.472,,,,,
212,12.12.19 klo 07.30.00 ap.,104.962,3.788,,,,,
213,12.12.19 klo 08.00.00 ap.,104.965,4.102,,,,,
214,12.12.19 klo 08.30.00 ap.,104.936,4.102,,,,,
215,12.12.19 klo 09.00.00 ap.,104.900,4.415,,,,,
216,12.12.19 klo 09.30.00 ap.,104.846,4.311,,,,,
217,12.12.19 klo 10.00.00 ap.,104.795,3.788,,,,,
218,12.12.19 klo 10.30.00 ap.,104.746,3.788,,,,,
219,12.12.19 klo 11.00.00 ap.,104.757,3.578,,,,,
220,12.12.19 klo 11.30.00 ap.,104.698,3.578,,,,,
221,12.12.19 klo 12.00.00 ip.,104.727,3.578,,,,,
222,12.12.19 klo 12.30.00 ip.,104.691,3.893,,,,,
223,12.12.19 klo 01.00.00 ip.,104.667,3.788,,,,,
224,12.12.19 klo 01.30.00 ip.,104.668,3.578,,,,,
225,12.12.19 klo 02.00.00 ip.,104.648,3.578,,,,,
226,12.12.19 klo 02.30.00 ip.,104.634,3.472,,,,,
227,12.12.19 klo 03.00.00 ip.,104.689,3.367,,,,,
228,12.12.19 klo 03.30.00 ip.,104.644,3.472,,,,,
229,12.12.19 klo 04.00.00 ip.,104.624,3.472,,,,,
230,12.12.19 klo 04.30.00 ip.,104.663,3.683,,,,,
231,12.12.19 klo 05.00.00 ip.,104.678,3.578,,,,,
232,12.12.19 klo 05.30.00 ip.,104.682,3.683,,,,,
233,12.12.19 klo 06.00.00 ip.,104.722,3.683,,,,,
234,12.12.19 klo 06.30.00 ip.,104.703,3.472,,,,,
235,12.12.19 klo 07.00.00 ip.,104.723,3.472,,,,,
236,12.12.19 klo 07.30.00 ip.,104.733,3.472,,,,,
237,12.12.19 klo 08.00.00 ip.,104.748,3.367,,,,,
238,12.12.19 klo 08.30.00 ip.,104.774,3.049,,,,,
239,12.12.19 klo 09.00.00 ip.,104.769,2.195,,,,,
240,12.12.19 klo 09.30.00 ip.,104.762,1.330,,,,,
241,12.12.19 klo 10.00.00 ip.,104.777,1.439,,,,,
242,12.12.19 klo 10.30.00 ip.,104.777,1.439,,,,,
243,12.12.19 klo 11.00.00 ip.,104.821,1.548,,,,,
244,12.12.19 klo 11.30.00 ip.,104.826,1.439,,,,,
245,12.13.19 klo 12.00.00 ap.,104.841,1.330,,,,,
246,12.13.19 klo 12.30.00 ap.,104.827,1.221,,,,,
247,12.13.19 klo 01.00.00 ap.,104.852,1.112,,,,,
248,12.13.19 klo 01.30.00 ap.,104.857,1.003,,,,,
249,12.13.19 klo 02.00.00 ap.,104.847,1.003,,,,,
250,12.13.19 klo 02.30.00 ap.,104.887,1.003,,,,,
251,12.13.19 klo 03.00.00 ap.,104.891,1.112,,,,,
252,12.13.19 klo 03.30.00 ap.,104.915,1.221,,,,,
253,12.13.19 klo 04.00.00 ap.,104.939,1.330,,,,,
254,12.13.19 klo 04.30.00 ap.,104.964,1.439,,,,,
255,12.13.19 klo 05.00.00 ap.,104.988,1.548,,,,,
256,12.13.19 klo 05.30.00 ap.,105.026,1.764,,,,,
257,12.13.19 klo 06.00.00 ap.,105.021,1.872,,,,,
258,12.13.19 klo 06.30.00 ap.,105.059,2.088,,,,,
259,12.13.19 klo 07.00.00 ap.,105.068,2.303,,,,,
260,12.13.19 klo 07.30.00 ap.,105.053,2.410,,,,,
261,12.13.19 klo 08.00.00 ap.,105.082,2.624,,,,,
262,12.13.19 klo 08.30.00 ap.,105.080,2.837,,,,,
263,12.13.19 klo 09.00.00 ap.,105.079,3.049,,,,,
264,12.13.19 klo 09.30.00 ap.,105.059,3.261,,,,,
265,12.13.19 klo 10.00.00 ap.,105.069,3.261,,,,,
266,12.13.19 klo 10.30.00 ap.,105.073,3.367,,,,,
267,12.13.19 klo 11.00.00 ap.,105.096,3.683,,,,,
268,12.13.19 klo 11.30.00 ap.,105.111,3.578,,,,,
269,12.13.19 klo 12.00.00 ip.,105.131,3.578,,,,,
270,12.13.19 klo 12.30.00 ip.,105.140,3.788,,,,,
271,12.13.19 klo 01.00.00 ip.,105.139,3.049,,,,,
272,12.13.19 klo 01.30.00 ip.,105.128,3.261,,,,,
273,12.13.19 klo 02.00.00 ip.,105.137,3.261,,,,,
274,12.13.19 klo 02.30.00 ip.,105.121,2.624,,,,,
275,12.13.19 klo 03.00.00 ip.,105.151,2.410,,,,,
276,12.13.19 klo 03.30.00 ip.,105.171,2.410,,,,,
277,12.13.19 klo 04.00.00 ip.,105.191,2.410,,,,,
278,12.13.19 klo 04.30.00 ip.,105.215,2.517,,,,,
279,12.13.19 klo 05.00.00 ip.,105.254,2.517,,,,,
280,12.13.19 klo 05.30.00 ip.,105.265,2.303,,,,,
281,12.13.19 klo 06.00.00 ip.,105.280,2.195,,,,,
282,12.13.19 klo 06.30.00 ip.,105.276,2.088,,,,,
283,12.13.19 klo 07.00.00 ip.,105.297,1.872,,,,,
284,12.13.19 klo 07.30.00 ip.,105.263,1.764,,,,,
285,12.13.19 klo 08.00.00 ip.,105.278,1.656,,,,,
286,12.13.19 klo 08.30.00 ip.,105.332,1.548,,,,,
287,12.13.19 klo 09.00.00 ip.,105.338,1.439,,,,,
288,12.13.19 klo 09.30.00 ip.,105.353,1.330,,,,,
289,12.13.19 klo 10.00.00 ip.,105.358,1.221,,,,,
290,12.13.19 klo 10.30.00 ip.,105.368,1.221,,,,,
291,12.13.19 klo 11.00.00 ip.,105.373,1.112,,,,,
292,12.13.19 klo 11.30.00 ip.,105.398,1.003,,,,,
293,12.14.19 klo 12.00.00 ap.,105.403,1.112,,,,,
294,12.14.19 klo 12.30.00 ap.,105.423,1.112,,,,,
295,12.14.19 klo 01.00.00 ap.,105.445,1.656,,,,,
296,12.14.19 klo 01.30.00 ap.,105.449,1.980,,,,,
297,12.14.19 klo 02.00.00 ap.,105.476,2.410,,,,,
298,12.14.19 klo 02.30.00 ap.,105.491,3.472,,,,,
299,12.14.19 klo 03.00.00 ap.,105.543,3.788,,,,,
300,12.14.19 klo 03.30.00 ap.,105.532,3.998,,,,,
301,12.14.19 klo 04.00.00 ap.,105.576,4.102,,,,,
302,12.14.19 klo 04.30.00 ap.,105.581,4.207,,,,,
303,12.14.19 klo 05.00.00 ap.,105.585,4.311,,,,,
304,12.14.19 klo 05.30.00 ap.,105.624,4.311,,,,,
305,12.14.19 klo 06.00.00 ap.,105.634,4.311,,,,,
306,12.14.19 klo 06.30.00 ap.,105.668,4.415,,,,,
307,12.14.19 klo 07.00.00 ap.,105.672,4.519,,,,,
308,12.14.19 klo 07.30.00 ap.,105.702,4.519,,,,,
309,12.14.19 klo 08.00.00 ap.,105.716,4.623,,,,,
310,12.14.19 klo 08.30.00 ap.,105.716,4.623,,,,,
311,12.14.19 klo 09.00.00 ap.,105.732,5.244,,,,,
312,12.14.19 klo 09.30.00 ap.,105.727,5.347,,,,,
313,12.14.19 klo 10.00.00 ap.,105.722,5.244,,,,,
314,12.14.19 klo 10.30.00 ap.,105.718,5.141,,,,,
315,12.14.19 klo 11.00.00 ap.,105.717,5.347,,,,,
316,12.14.19 klo 11.30.00 ap.,105.712,5.244,,,,,
317,12.14.19 klo 12.00.00 ip.,105.671,4.727,,,,,
318,12.14.19 klo 12.30.00 ip.,105.661,4.727,,,,,
319,12.14.19 klo 01.00.00 ip.,105.670,4.934,,,,,
320,12.14.19 klo 01.30.00 ip.,105.675,4.831,,,,,
321,12.14.19 klo 02.00.00 ip.,105.670,4.934,,,,,
322,12.14.19 klo 02.30.00 ip.,105.636,4.831,,,,,
323,12.14.19 klo 03.00.00 ip.,105.667,4.623,,,,,
324,12.14.19 klo 03.30.00 ip.,105.638,4.415,,,,,
325,12.14.19 klo 04.00.00 ip.,105.678,4.415,,,,,
