year month day id wd wsd tmp
2001 12 08 89512 90 4 -3.5
2001 12 08 89512 80 6 -.1
2001 12 08 89512 110 8 .2
2001 12 09 89512 110 16 -.3
2001 12 09 89512 130 32 -1.6
2001 12 09 89512 110 24 -.3
2001 12 09 89512 140 16 -.8
2001 12 10 89512 200 18 -1.8
2001 12 10 89512 200 18 -1.8
2001 12 10 89512 40 6 -.1
2001 12 10 89512 140 8 -1.7
2001 12 11 89512 150 6 -2.7
2001 12 11 89512 130 20 -1.8
2001 12 11 89512 110 16 -.8
2001 12 11 89512 110 18 -2.1
2001 12 12 89512 130 22 -4.1
2001 12 12 89512 130 26 -3.8
2001 12 12 89512 110 24 -2.6
2001 12 12 89512 120 20 -2.5
2001 12 13 89512 120 16 -3.2
2001 12 13 89512 120 32 -4.4
2001 12 14 89512 130 34 -4.7
2001 12 14 89512 130 38 -4.5
2001 12 14 89512 130 40 -3.8
2001 12 14 89512 130 30 -3.3
2001 12 15 89512 130 28 -2.8
2001 12 15 89512 130 42 -3
2001 12 15 89512 130 38 -3
2001 12 15 89512 110 32 -3.3
2001 12 16 89512 120 24 -3.9
2001 12 16 89512 120 20 -3.4
2001 12 16 89512 120 14 -2.1
2001 12 16 89512 120 12 -2.2
2001 12 17 89512 140 18 -3.2
2001 12 17 89512 130 14 -3.2
2001 12 17 89512 120 6 -.9
2001 12 17 89512 350 6 -1.7
2001 12 18 89512 130 2 -5.4
2001 12 18 89512 130 16 -4.6
2001 12 18 89512 110 14 -1.4
2001 12 18 89512 360 6 -3.1
2001 12 19 89512 160 2 -4.5
2001 12 19 89512 130 22 -1.4
2001 12 19 89512 120 12 -.4
2001 12 19 89512 140 6 -1.5
2001 12 20 89512 140 16 -1.3
2001 12 20 89512 130 22 .8
2001 12 20 89512 140 12 3.1
2001 12 20 89512 210 10 3.1
2001 12 21 89512 180 30 -1.6
2001 12 21 89512 170 32 -1.2
2001 12 21 89512 160 8 2.9
2001 12 21 89512 130 16 1.9
2001 12 22 89512 170 22 -1.1
2001 12 22 89512 170 32 .2
2001 12 22 89512 140 14 4
2001 12 22 89512 220 4 4.9
2001 12 23 89512 140 24 .9
2001 12 23 89512 160 32 1
2001 12 23 89512 150 6 4
2001 12 23 89512 140 6 .8
2001 12 24 89512 180 18 .1
2001 12 24 89512 160 22 2.6
2001 12 24 89512 340 4 4.8
2001 12 24 89512 120 12 2.5
2001 12 25 89512 10 2 1.1
2001 12 25 89512 110 2 .2
2001 12 25 89512 30 4 .9
2001 12 25 89512 320 22 2.1
2001 12 26 89512 70 4 -1.6
2001 12 26 89512 290 12 -.6
2001 12 26 89512 330 10 1.3
2001 12 26 89512 20 4 -2.1
2001 12 27 89512 200 2 -3.3
2001 12 27 89512 190 18 -.6
2001 12 27 89512 110 8 2.7
2001 12 27 89512 60 2 .9
2001 12 28 89512 30 4 -6.3
2001 12 28 89512 130 22 -1.6
2001 12 28 89512 110 12 1.9
2001 12 28 89512 130 18 .9
2001 12 29 89512 120 20 -.2
2001 12 29 89512 100 16 1.3
2001 12 29 89512 130 20 .4
2001 12 30 89512 140 26 -.7
2001 12 30 89512 120 30 .2
2001 12 31 89512 130 52 -.5
2001 12 31 89512 120 38 -1.2
2001 12 31 89512 130 32 -.4
2002 12 01 89512 120 14 -5.4
2002 12 01 89512 330 2 -6.2
2002 12 01 89512 90 18 -2.2
2002 12 01 89512 110 18 -2.9
2002 12 02 89512 130 28 -4.8
2002 12 02 89512 130 30 -4.3
2002 12 02 89512 110 28 -1.1
2002 12 02 89512 110 22 -2.4
2002 12 03 89512 140 22 -5.2
2002 12 03 89512 70 16 -6.4
2002 12 03 89512 70 16 -4.6
2002 12 03 89512 30 10 -4
2002 12 04 89512 100 14 -5
2002 12 04 89512 130 14 -4
2002 12 04 89512 120 18 -3.2
2002 12 04 89512 100 20 -3.2
2002 12 05 89512 120 10 -4.5
2002 12 05 89512 270 6 -5.1
2002 12 05 89512 10 4 -2.2
2002 12 05 89512 230 4 -3.6
2002 12 06 89512 140 10 -6.1
2002 12 06 89512 110 20 -4.9
2002 12 06 89512 110 22 -2.7
2002 12 06 89512 90 8 -3.3
2002 12 07 89512 130 10 -5.6
2002 12 07 89512 120 22 -5.2
2002 12 07 89512 120 18 -2.5
2002 12 07 89512 100 12 -2.5
2002 12 08 89512 170 22 -5.6
2002 12 08 89512 180 24 -5.7
2002 12 08 89512 30 6 -1.1
2002 12 08 89512 210 14 -2.7
2002 12 09 89512 180 22 -7.2
2002 12 09 89512 190 18 -5.6
2002 12 09 89512 40 6 -6.1
2002 12 09 89512 90 6 -4.4
2002 12 10 89512 110 8 -8.6
2002 12 10 89512 120 4 -6.1
2002 12 10 89512 100 20 -3.7
2002 12 10 89512 110 22 -4.2
2002 12 11 89512 130 14 -5.8
2002 12 11 89512 110 18 -3.1
2002 12 11 89512 100 18 -2.2
2002 12 11 89512 120 12 -1.9
2002 12 12 89512 130 22 -1.4
2002 12 12 89512 110 12 -1.1
2002 12 12 89512 100 22 .2
2002 12 12 89512 80 8 -1.4
2002 12 13 89512 90 14 -4.1
2002 12 13 89512 130 18 -4.4
2002 12 13 89512 90 12 -2.5
2002 12 13 89512 100 8 -2.2
2002 12 14 89512 110 12 -3.1
2002 12 14 89512 120 18 -2.5
2002 12 14 89512 110 16 -.1
2002 12 14 89512 90 10 -.4
2002 12 15 89512 130 14 -1.8
2002 12 15 89512 110 14 -2.1
2002 12 15 89512 110 8 -.7
2002 12 15 89512 100 14 -.6
2002 12 16 89512 130 22 -2.6
2002 12 16 89512 110 18 -1.6
2002 12 16 89512 100 28 -.8
2002 12 16 89512 120 24 -1.2
2002 12 17 89512 130 34 -2.3
2002 12 17 89512 130 44 -2.5
2002 12 17 89512 130 38 -1.1
2002 12 17 89512 120 28 -1
2002 12 18 89512 120 28 -1.7
2002 12 18 89512 120 26 -1.3
2002 12 18 89512 120 24 .5
2002 12 18 89512 110 10 0
2002 12 19 89512 120 22 -1.2
2002 12 19 89512 110 38 -.3
2002 12 19 89512 130 24 .8
2002 12 19 89512 120 28 1.3
2002 12 20 89512 120 26 -.2
2002 12 20 89512 120 28 -.4
2002 12 20 89512 110 26 -.5
2002 12 20 89512 110 26 -1.1
