28.1.2018 21:41:01,C,4,617
28.1.2018 21:51:01,C,4,491
28.1.2018 22:01:01,C,4,365
28.1.2018 22:11:01,C,4,239
28.1.2018 22:21:01,C,4,176
28.1.2018 22:31:01,C,4,113
28.1.2018 22:41:01,C,3,987
28.1.2018 22:51:01,C,3,924
28.1.2018 23:01:01,C,3,861
28.1.2018 23:11:01,C,3,735
28.1.2018 23:21:01,C,3,609
28.1.2018 23:31:01,C,3,547
28.1.2018 23:41:01,C,3,484
28.1.2018 23:51:01,C,3,421
29.1.2018 0:01:01,C,3,358
29.1.2018 0:11:01,C,3,295
29.1.2018 0:21:01,C,3,232
29.1.2018 0:31:01,C,3,232
29.1.2018 0:41:01,C,3,106
29.1.2018 0:51:01,C,3,106
29.1.2018 1:01:01,C,3,043
29.1.2018 1:11:01,C,2,98
29.1.2018 1:21:01,C,2,98
29.1.2018 1:31:01,C,2,917
29.1.2018 1:41:01,C,2,917
29.1.2018 1:51:01,C,2,854
29.1.2018 2:01:01,C,2,854
29.1.2018 2:11:01,C,2,854
29.1.2018 2:21:01,C,2,854
29.1.2018 2:31:01,C,2,791
29.1.2018 2:41:01,C,2,791
29.1.2018 2:51:01,C,2,728
29.1.2018 3:01:01,C,2,665
29.1.2018 3:11:01,C,2,602
29.1.2018 3:21:01,C,2,728
29.1.2018 3:31:01,C,2,791
29.1.2018 3:41:01,C,2,854
29.1.2018 3:51:01,C,2,917
29.1.2018 4:01:01,C,2,665
29.1.2018 4:11:01,C,2,413
29.1.2018 4:21:01,C,2,602
29.1.2018 4:31:01,C,2,539
29.1.2018 4:41:01,C,2,602
29.1.2018 4:51:01,C,2,665
29.1.2018 5:01:01,C,2,665
29.1.2018 5:11:01,C,2,728
29.1.2018 5:21:01,C,2,917
29.1.2018 5:31:01,C,2,98
29.1.2018 5:41:01,C,2,98
29.1.2018 5:51:01,C,2,98
29.1.2018 6:01:01,C,3,043
29.1.2018 6:11:01,C,3,043
29.1.2018 6:21:01,C,3,043
29.1.2018 6:31:01,C,3,043
29.1.2018 6:41:01,C,3,106
29.1.2018 6:51:01,C,3,169
29.1.2018 7:01:01,C,3,169
29.1.2018 7:11:01,C,3,232
29.1.2018 7:21:01,C,3,232
29.1.2018 7:31:01,C,3,232
29.1.2018 7:41:01,C,3,358
29.1.2018 7:51:01,C,3,295
29.1.2018 8:01:01,C,3,295
29.1.2018 8:11:01,C,3,358
29.1.2018 8:21:01,C,3,358
29.1.2018 8:31:01,C,3,295
29.1.2018 8:41:01,C,3,421
29.1.2018 8:51:01,C,3,609
29.1.2018 9:01:01,C,3,672
29.1.2018 9:11:01,C,3,798
29.1.2018 9:21:01,C,3,861
29.1.2018 9:31:01,C,3,987
29.1.2018 9:41:01,C,4,113
29.1.2018 9:51:01,C,4,239
29.1.2018 10:01:01,C,4,365
29.1.2018 10:11:01,C,4,428
29.1.2018 10:21:01,C,4,491
29.1.2018 10:31:01,C,4,679
29.1.2018 10:41:01,C,4,868
29.1.2018 10:51:01,C,4,994
29.1.2018 11:01:01,C,5,12
29.1.2018 11:11:01,C,5,246
29.1.2018 11:21:01,C,5,372
29.1.2018 11:31:01,C,5,497
29.1.2018 11:41:01,C,5,623
29.1.2018 11:51:01,C,5,686
29.1.2018 12:01:01,C,5,875
29.1.2018 12:11:01,C,6,001
29.1.2018 12:21:01,C,6,126
29.1.2018 12:31:01,C,6,252
29.1.2018 12:41:01,C,6,315
29.1.2018 12:51:01,C,6,378
29.1.2018 13:01:01,C,6,441
29.1.2018 13:11:01,C,6,504
29.1.2018 13:21:01,C,6,567
29.1.2018 13:31:01,C,6,63
29.1.2018 13:41:01,C,6,63
29.1.2018 13:51:01,C,6,755
29.1.2018 14:01:01,C,6,818
29.1.2018 14:11:01,C,6,881
29.1.2018 14:21:01,C,6,881
29.1.2018 14:31:01,C,7,007
29.1.2018 14:41:01,C,7,07
29.1.2018 14:51:01,C,7,133
29.1.2018 15:01:01,C,7,196
29.1.2018 15:11:01,C,7,196
29.1.2018 15:21:01,C,7,196
29.1.2018 15:31:01,C,7,133
29.1.2018 15:41:01,C,7,196
29.1.2018 15:51:01,C,7,258
29.1.2018 16:01:01,C,7,384
29.1.2018 16:11:01,C,7,447
29.1.2018 16:21:01,C,7,51
29.1.2018 16:31:01,C,7,51
29.1.2018 16:41:01,C,7,636
29.1.2018 16:51:01,C,7,699
29.1.2018 17:01:01,C,7,887
29.1.2018 17:11:01,C,7,95
29.1.2018 17:21:01,C,7,887
29.1.2018 17:31:01,C,7,887
29.1.2018 17:41:01,C,8,076
29.1.2018 17:51:01,C,7,95
29.1.2018 18:01:01,C,8,013
29.1.2018 18:11:01,C,8,076
29.1.2018 18:21:01,C,7,887
29.1.2018 18:31:01,C,7,51
29.1.2018 18:41:01,C,7,384
29.1.2018 18:51:01,C,7,321
29.1.2018 19:01:01,C,7,133
29.1.2018 19:11:01,C,7,07
29.1.2018 19:21:01,C,7,007
29.1.2018 19:31:01,C,7,007
29.1.2018 19:41:01,C,6,944
29.1.2018 19:51:01,C,6,818
29.1.2018 20:01:01,C,6,818
29.1.2018 20:11:01,C,6,755
29.1.2018 20:21:01,C,6,755
29.1.2018 20:31:01,C,6,693
29.1.2018 20:41:01,C,6,567
29.1.2018 20:51:01,C,6,567
29.1.2018 21:01:01,C,6,441
29.1.2018 21:11:01,C,6,378
29.1.2018 21:21:01,C,6,378
29.1.2018 21:31:01,C,6,315
29.1.2018 21:41:01,C,6,378
29.1.2018 21:51:01,C,6,315
29.1.2018 22:01:01,C,6,252
29.1.2018 22:11:01,C,6,252
29.1.2018 22:21:01,C,6,064
29.1.2018 22:31:01,C,6,001
29.1.2018 22:41:01,C,5,938
29.1.2018 22:51:01,C,5,875
29.1.2018 23:01:01,C,5,875
29.1.2018 23:11:01,C,5,875
29.1.2018 23:21:01,C,5,686
29.1.2018 23:31:01,C,5,497
29.1.2018 23:41:01,C,5,309
29.1.2018 23:51:01,C,5,183
30.1.2018 0:01:01,C,4,994
30.1.2018 0:11:01,C,4,868
30.1.2018 0:21:01,C,4,679
30.1.2018 0:31:01,C,4,617
30.1.2018 0:41:01,C,4,554
30.1.2018 0:51:01,C,4,554
30.1.2018 1:01:01,C,4,617
30.1.2018 1:11:01,C,4,491
30.1.2018 1:21:01,C,4,365
30.1.2018 1:31:01,C,4,05
30.1.2018 1:41:01,C,3,798
30.1.2018 1:51:01,C,3,672
30.1.2018 2:01:01,C,3,547
30.1.2018 2:11:01,C,3,421
30.1.2018 2:21:01,C,3,295
30.1.2018 2:31:01,C,3,232
30.1.2018 2:41:01,C,3,106
30.1.2018 2:51:01,C,2,98
30.1.2018 3:01:01,C,2,917
30.1.2018 3:11:01,C,2,791
30.1.2018 3:21:01,C,2,791
30.1.2018 3:31:01,C,2,665
30.1.2018 3:41:01,C,2,539
30.1.2018 3:51:01,C,2,476
30.1.2018 4:01:01,C,2,413
30.1.2018 4:11:01,C,2,413
30.1.2018 4:21:01,C,2,476
30.1.2018 4:31:01,C,2,35
30.1.2018 4:41:01,C,2,413
30.1.2018 4:51:01,C,2,35
30.1.2018 5:01:01,C,2,413
30.1.2018 5:11:01,C,2,413
30.1.2018 5:21:01,C,2,35
30.1.2018 5:31:01,C,2,413
30.1.2018 5:41:01,C,2,35
30.1.2018 5:51:01,C,2,35
30.1.2018 6:01:01,C,2,35
30.1.2018 6:11:01,C,2,413
30.1.2018 6:21:01,C,2,413
30.1.2018 6:31:01,C,2,602
30.1.2018 6:41:01,C,2,476
30.1.2018 6:51:01,C,2,602
30.1.2018 7:01:01,C,2,791
30.1.2018 7:11:01,C,2,728
30.1.2018 7:21:01,C,2,728
30.1.2018 7:31:01,C,2,791
30.1.2018 7:41:01,C,2,98
30.1.2018 7:51:01,C,3,043
30.1.2018 8:01:01,C,3,169
30.1.2018 8:11:01,C,3,232
30.1.2018 8:21:01,C,3,358
30.1.2018 8:31:01,C,3,421
30.1.2018 8:41:01,C,3,547
30.1.2018 8:51:01,C,3,609
30.1.2018 9:01:01,C,3,735
30.1.2018 9:11:01,C,3,672
30.1.2018 9:21:01,C,3,672
30.1.2018 9:31:01,C,3,735
30.1.2018 9:41:01,C,3,861
30.1.2018 9:51:01,C,3,987
30.1.2018 10:01:01,C,4,05
30.1.2018 10:11:01,C,4,176
30.1.2018 10:21:01,C,4,113
30.1.2018 10:31:01,C,4,176
30.1.2018 10:41:01,C,4,302
30.1.2018 10:51:01,C,4,365
30.1.2018 11:01:01,C,4,365
30.1.2018 11:11:01,C,4,365
30.1.2018 11:21:01,C,4,491
30.1.2018 11:31:01,C,4,617
30.1.2018 11:41:01,C,4,742
30.1.2018 11:51:01,C,4,931
30.1.2018 12:01:01,C,5,057
30.1.2018 12:11:01,C,5,183
30.1.2018 12:21:01,C,5,435
30.1.2018 12:31:01,C,5,56
30.1.2018 12:41:01,C,5,749
30.1.2018 12:51:01,C,5,875
30.1.2018 13:01:01,C,5,938
30.1.2018 13:11:01,C,6,064
30.1.2018 13:21:01,C,6,126
30.1.2018 13:31:01,C,6,252
30.1.2018 13:41:01,C,6,378
30.1.2018 13:51:01,C,6,441
30.1.2018 14:01:01,C,6,567
30.1.2018 14:11:01,C,6,63
30.1.2018 14:21:01,C,6,693
30.1.2018 14:31:01,C,6,818
30.1.2018 14:41:01,C,6,881
30.1.2018 14:51:01,C,6,944
30.1.2018 15:01:01,C,7,007
30.1.2018 15:11:01,C,7,133
30.1.2018 15:21:01,C,7,258
30.1.2018 15:31:01,C,7,321
30.1.2018 15:41:01,C,7,447
30.1.2018 15:51:01,C,7,51
30.1.2018 16:01:01,C,7,573
30.1.2018 16:11:01,C,7,636
30.1.2018 16:21:01,C,7,699
30.1.2018 16:31:01,C,7,761
30.1.2018 16:41:01,C,7,699
30.1.2018 16:51:01,C,7,636
30.1.2018 17:01:01,C,7,636
30.1.2018 17:11:01,C,7,636
30.1.2018 17:21:01,C,7,573
30.1.2018 17:31:01,C,7,636
30.1.2018 17:41:01,C,7,636
30.1.2018 17:51:01,C,7,636
30.1.2018 18:01:01,C,7,573
30.1.2018 18:11:01,C,7,447
30.1.2018 18:21:01,C,7,447
30.1.2018 18:31:01,C,7,321
30.1.2018 18:41:01,C,7,321
30.1.2018 18:51:01,C,7,321
30.1.2018 19:01:01,C,7,321
30.1.2018 19:11:01,C,7,447
30.1.2018 19:21:01,C,7,384
30.1.2018 19:31:01,C,7,321
30.1.2018 19:41:01,C,7,196
30.1.2018 19:51:01,C,7,258
30.1.2018 20:01:01,C,7,007
30.1.2018 20:11:01,C,7,007
30.1.2018 20:21:01,C,6,944
30.1.2018 20:31:01,C,6,818
30.1.2018 20:41:01,C,6,693
30.1.2018 20:51:01,C,6,567
30.1.2018 21:01:01,C,6,504
30.1.2018 21:11:01,C,6,378
30.1.2018 21:21:01,C,6,315
30.1.2018 21:31:01,C,6,126
30.1.2018 21:41:01,C,5,875
30.1.2018 21:51:01,C,5,686
30.1.2018 22:01:01,C,5,56
30.1.2018 22:11:01,C,5,435
30.1.2018 22:21:01,C,5,372
30.1.2018 22:31:01,C,5,246
30.1.2018 22:41:01,C,5,12
30.1.2018 22:51:01,C,5,057
30.1.2018 23:01:01,C,4,994
30.1.2018 23:11:01,C,4,931
30.1.2018 23:21:01,C,4,868
30.1.2018 23:31:01,C,4,868
30.1.2018 23:41:01,C,4,742
30.1.2018 23:51:01,C,4,679
31.1.2018 0:01:01,C,4,554
31.1.2018 0:11:01,C,4,491
31.1.2018 0:21:01,C,4,365
31.1.2018 0:31:01,C,4,239
31.1.2018 0:41:01,C,4,113
31.1.2018 0:51:01,C,3,987
31.1.2018 1:01:01,C,3,924
31.1.2018 1:11:01,C,3,798
31.1.2018 1:21:01,C,3,672
31.1.2018 1:31:01,C,3,609
31.1.2018 1:41:01,C,3,484
31.1.2018 1:51:01,C,3,421
31.1.2018 2:01:01,C,3,295
31.1.2018 2:11:01,C,3,232
31.1.2018 2:21:01,C,3,106
31.1.2018 2:31:01,C,3,169
31.1.2018 2:41:01,C,3,043
31.1.2018 2:51:01,C,2,854
31.1.2018 3:01:01,C,2,728
31.1.2018 3:11:01,C,2,539
31.1.2018 3:21:01,C,2,413
31.1.2018 3:31:01,C,2,287
31.1.2018 3:41:01,C,2,224
31.1.2018 3:51:01,C,2,035
31.1.2018 4:01:01,C,2,035
31.1.2018 4:11:01,C,2,224
31.1.2018 4:21:01,C,2,224
31.1.2018 4:31:01,C,2,224
31.1.2018 4:41:01,C,2,224
31.1.2018 4:51:01,C,2,287
31.1.2018 5:01:01,C,2,35
31.1.2018 5:11:01,C,2,224
31.1.2018 5:21:01,C,2,035
31.1.2018 5:31:01,C,2,161
31.1.2018 5:41:01,C,2,161
31.1.2018 5:51:01,C,2,098
31.1.2018 6:01:01,C,2,098
31.1.2018 6:11:01,C,2,035
31.1.2018 6:21:01,C,2,098
31.1.2018 6:31:01,C,2,161
31.1.2018 6:41:01,C,2,161
31.1.2018 6:51:01,C,2,287
31.1.2018 7:01:01,C,2,539
31.1.2018 7:11:01,C,2,602
31.1.2018 7:21:01,C,2,602
31.1.2018 7:31:01,C,2,35
31.1.2018 7:41:01,C,2,35
31.1.2018 7:51:01,C,2,35
31.1.2018 8:01:01,C,2,539
31.1.2018 8:11:01,C,2,539
31.1.2018 8:21:01,C,2,539
31.1.2018 8:31:01,C,2,539
31.1.2018 8:41:01,C,2,539
31.1.2018 8:51:01,C,2,539
31.1.2018 9:01:01,C,2,602
31.1.2018 9:11:01,C,2,665
31.1.2018 9:21:01,C,2,791
31.1.2018 9:31:01,C,2,917
31.1.2018 9:41:01,C,2,98
31.1.2018 9:51:01,C,3,106
31.1.2018 10:01:01,C,3,106
31.1.2018 10:11:01,C,3,232
31.1.2018 10:21:01,C,3,358
31.1.2018 10:31:01,C,3,484
31.1.2018 10:41:01,C,3,609
31.1.2018 10:51:01,C,3,735
31.1.2018 11:01:01,C,3,924
31.1.2018 11:11:01,C,4,05
31.1.2018 11:21:01,C,4,176
31.1.2018 11:31:01,C,4,302
31.1.2018 11:41:01,C,4,428
31.1.2018 11:51:01,C,4,554
31.1.2018 12:01:01,C,4,679
31.1.2018 12:11:01,C,4,805
31.1.2018 12:21:01,C,4,868
31.1.2018 12:31:01,C,4,994
31.1.2018 12:41:01,C,5,12
31.1.2018 12:51:01,C,5,246
31.1.2018 13:01:01,C,5,309
31.1.2018 13:11:01,C,5,435
31.1.2018 13:21:01,C,5,497
31.1.2018 13:31:01,C,5,56
31.1.2018 13:41:01,C,5,686
31.1.2018 13:51:01,C,5,749
31.1.2018 14:01:01,C,5,875
31.1.2018 14:11:01,C,5,938
31.1.2018 14:21:01,C,6,001
31.1.2018 14:31:01,C,6,064
31.1.2018 14:41:01,C,6,064
31.1.2018 14:51:01,C,6,064
31.1.2018 15:01:01,C,6,126
31.1.2018 15:11:01,C,6,189
31.1.2018 15:21:01,C,6,252
31.1.2018 15:31:01,C,6,252
31.1.2018 15:41:01,C,6,315
31.1.2018 15:51:01,C,6,378
31.1.2018 16:01:01,C,6,441
31.1.2018 16:11:01,C,6,441
31.1.2018 16:21:01,C,6,441
31.1.2018 16:31:01,C,6,441
31.1.2018 16:41:01,C,6,441
31.1.2018 16:51:01,C,6,441
31.1.2018 17:01:01,C,6,378
31.1.2018 17:11:01,C,6,378
31.1.2018 17:21:01,C,6,378
31.1.2018 17:31:01,C,6,378
31.1.2018 17:41:01,C,6,315
31.1.2018 17:51:01,C,6,315
31.1.2018 18:01:01,C,6,315
31.1.2018 18:11:01,C,6,252
31.1.2018 18:21:01,C,6,315
